"coefficient_name","coef","variable","alternative","sd_x","sd_y","std_coef","importance_pct"
"b_expected_los_continue",-0.0589028671938725,"expected_los","continue",0.499877626849061,0.885245514985533,-0.0332610840371889,0.219211678569303
"b_clinical_situation_continue",1.24993843321628,"clinical_situation","continue",0.499877626849061,0.885245514985533,0.705811266057417,4.65174473004482
"b_age_continue",-1.85380043653553,"age","continue",1.10042968652906,0.885245514985533,-2.30441950705343,15.1875888261555
"b_frailty_continue",-1.08465581760767,"frailty","continue",0.824108376513834,0.885245514985533,-1.00974693437396,6.65487391110994
"b_life_expectancy_continue",0.486534245234379,"life_expectancy","continue",0.765670549540607,0.885245514985533,0.42081539709921,2.77344086148198
"b_suffering_continue",-1.14193158826185,"suffering","continue",0.499877626849061,0.885245514985533,-0.64482230375789,4.24978871487313
"b_disability_cardiovascular_continue",-0.849021444057895,"disability_cardiovascular","continue",1.10042968652906,0.885245514985533,-1.05540032197321,6.9557587444731
"b_disability_pulmonary_continue",-1.3335098832989,"disability_pulmonary","continue",0.816296746409048,0.885245514985533,-1.22964732451538,8.10415721128885
"b_disability_renal_continue",-0.378759577415483,"disability_renal","continue",0.733619791019371,0.885245514985533,-0.313885263835167,2.06870333770669
"b_disability_neurological_continue",-0.70040132274575,"disability_neurological","continue",0.800444815158084,0.885245514985533,-0.63330748118036,4.1738987173365
"b_disability_gastrointestinal_continue",-0.778467216696823,"disability_gastrointestinal","continue",0.499877626849061,0.885245514985533,-0.439582396380241,2.89712731167416
"b_family_values_continue",-3.27786353074478,"family_values","continue",0.490170341098426,0.885245514985533,-1.81498969239682,11.9619353539842
"b_expected_los_timelimited",-0.0756582430057587,"expected_los","timelimited",0.499877626849061,0.885245514985533,-0.0427224564542485,0.281568134744754
"b_clinical_situation_timelimited",0.281564786621096,"clinical_situation","timelimited",0.499877626849061,0.885245514985533,0.158993109773299,1.04786562083754
"b_age_timelimited",-0.970774344922923,"age","timelimited",1.10042968652906,0.885245514985533,-1.20674873805087,7.95324097626363
"b_frailty_timelimited",-0.32035820821307,"frailty","timelimited",0.824108376513834,0.885245514985533,-0.298233516469912,1.96554837713343
"b_life_expectancy_timelimited",0.341426864807956,"life_expectancy","timelimited",0.765670549540607,0.885245514985533,0.295308466160042,1.94627043695537
"b_suffering_timelimited",-0.39080069881959,"suffering","timelimited",0.499877626849061,0.885245514985533,-0.220676097862053,1.45439570695823
"b_disability_cardiovascular_timelimited",-0.218196605544962,"disability_cardiovascular","timelimited",1.10042968652906,0.885245514985533,-0.271235513964135,1.78761438554457
"b_disability_pulmonary_timelimited",-0.396244911403719,"disability_pulmonary","timelimited",0.816296746409048,0.885245514985533,-0.36538274013767,2.4081044290762
"b_disability_renal_timelimited",-0.22400537088723,"disability_renal","timelimited",0.733619791019371,0.885245514985533,-0.185637510267637,1.22346915048516
"b_disability_neurological_timelimited",-0.258587414594105,"disability_neurological","timelimited",0.800444815158084,0.885245514985533,-0.233816440493763,1.54099891454017
"b_disability_gastrointestinal_timelimited",-0.382955131926629,"disability_gastrointestinal","timelimited",0.499877626849061,0.885245514985533,-0.216245888057711,1.42519780930288
"b_family_values_timelimited",-1.93666734254571,"family_values","timelimited",0.490170341098426,0.885245514985533,-1.07235436477227,7.06749665945993
