"coefficient_name","coef","variable","alternative","sd_x","sd_y","std_coef","importance_pct"
"b_expected_los_continue",0.303390917943255,"expected_los","continue",0.500188643658853,0.897493117339334,0.169085075765628,1.09308886822092
"b_clinical_situation_continue",1.49313227465738,"clinical_situation","continue",0.500188643658853,0.897493117339334,0.832148785138548,5.37961478634186
"b_age_continue",-2.10451575823328,"age","continue",1.10111435836096,0.897493117339334,-2.58198360969872,16.6918193631863
"b_frailty_continue",-1.24222621381489,"frailty","continue",0.824621125123532,0.897493117339334,-1.14136360302213,7.37860419322486
"b_life_expectancy_continue",0.563590071581769,"life_expectancy","continue",0.766146938958495,0.897493117339334,0.48110988243547,3.11024408570654
"b_suffering_continue",-1.13080993535413,"suffering","continue",0.500188643658853,0.897493117339334,-0.630220195423381,4.07420156407055
"b_disability_cardiovascular_continue",-0.949883942605064,"disability_cardiovascular","continue",1.10111435836096,0.897493117339334,-1.16539149746315,7.53393797310663
"b_disability_pulmonary_continue",-1.13557050805708,"disability_pulmonary","continue",0.81680463473266,0.897493117339334,-1.03347784637779,6.6811522206393
"b_disability_renal_continue",-0.0183670437335523,"disability_renal","continue",0.73407623890731,0.897493117339334,-0.0150227451590299,0.0971179474539612
"b_disability_neurological_continue",-0.729521803164969,"disability_neurological","continue",0.800942840633627,0.897493117339334,-0.651041499976423,4.20880561546723
"b_disability_gastrointestinal_continue",-0.557382704962622,"disability_gastrointestinal","continue",0.500188643658853,0.897493117339334,-0.310639150103639,2.00819732595773
"b_family_values_continue",-3.52152707703349,"family_values","continue",0.490475318171923,0.897493117339334,-1.92449622196489,12.4413428425755
"b_expected_los_timelimited",0.0323652602427625,"expected_los","timelimited",0.500188643658853,0.897493117339334,0.0180377267632821,0.116608980678366
"b_clinical_situation_timelimited",0.490828633653547,"clinical_situation","timelimited",0.500188643658853,0.897493117339334,0.273547399743759,1.76840928294077
"b_age_timelimited",-1.03631104844419,"age","timelimited",1.10111435836096,0.897493117339334,-1.27142699272485,8.21942851082571
"b_frailty_timelimited",-0.32632685112124,"frailty","timelimited",0.824621125123532,0.897493117339334,-0.299830728426493,1.93832382964335
"b_life_expectancy_timelimited",0.350622681726345,"life_expectancy","timelimited",0.766146938958495,0.897493117339334,0.299309809896282,1.93495623351433
"b_suffering_timelimited",-0.102336649798382,"suffering","timelimited",0.500188643658853,0.897493117339334,-0.0570340084735045,0.368709299091662
"b_disability_cardiovascular_timelimited",-0.24998855205394,"disability_cardiovascular","timelimited",1.10111435836096,0.897493117339334,-0.306705398375089,1.98276669462996
"b_disability_pulmonary_timelimited",-0.297989756541467,"disability_pulmonary","timelimited",0.81680463473266,0.897493117339334,-0.271199198682992,1.75322880395263
"b_disability_renal_timelimited",-0.282900504099235,"disability_renal","timelimited",0.73407623890731,0.897493117339334,-0.231389560568218,1.49587035836468
"b_disability_neurological_timelimited",-0.228552339787419,"disability_neurological","timelimited",0.800942840633627,0.897493117339334,-0.203965196753241,1.31857933094282
"b_disability_gastrointestinal_timelimited",-0.303230132393241,"disability_gastrointestinal","timelimited",0.500188643658853,0.897493117339334,-0.168995467160695,1.09250957304596
"b_family_values_timelimited",-2.0698010498893,"family_values","timelimited",0.490475318171923,0.897493117339334,-1.13113550275083,7.31248231641828
