"asc_continue","asc_timelimited","b_expected_los_continue","b_clinical_situation_continue","b_age_continue","b_frailty_continue","b_life_expectancy_continue","b_suffering_continue","b_disability_cardiovascular_continue","b_disability_pulmonary_continue","b_disability_renal_continue","b_disability_neurological_continue","b_disability_gastrointestinal_continue","b_family_values_continue","b_expected_los_timelimited","b_clinical_situation_timelimited","b_age_timelimited","b_frailty_timelimited","b_life_expectancy_timelimited","b_suffering_timelimited","b_disability_cardiovascular_timelimited","b_disability_pulmonary_timelimited","b_disability_renal_timelimited","b_disability_neurological_timelimited","b_disability_gastrointestinal_timelimited","b_family_values_timelimited","d_asc_continue","d_asc_timelimited","d_expected_los","d_clinical_situation","d_age","d_frailty","d_life_expectancy","d_suffering","d_disability_cardiovascular","d_disability_pulmonary","d_disability_renal","d_disability_neurological","d_disability_gastrointestinal","d_family_values","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-988.751059801321
-0.0487652723847902,-0.00383561321647784,-0.0161008326187171,-0.0906103512795884,-0.084359651700633,-0.0307550607331896,0.044837236741918,-0.0188996025851335,-0.0407453196924133,-0.0765231185920894,-0.0706944220993182,-0.0567760980298984,-0.00488173042900209,-0.263423657944657,-0.0131705770493053,-0.0412062169565273,-0.0139958016319766,0.000922578315517961,-0.00525748359015568,0.0079273537514679,0.00671704331256012,0.00746871174149138,0.00156791854197525,0.00720831759476783,-0.0092722125787764,-0.049891366159464,-0.0600179769120905,0.0229152810820544,0.00937330175532281,-0.0442429213836509,-0.0385070918349846,-0.0104173174233705,0.0395880224500239,0.0205512952702969,-0.0139433793758667,-0.0186119804235076,-0.0231165900136356,-0.0171049564753968,0.0121113347690283,-0.110651141318291,-898.249260468543
0.0132702824223943,-0.00469397786340008,0.0382120478607808,-0.0982194197130127,-0.351301418759067,-0.044181899064805,0.308051663621862,0.133601078611279,-0.092156676267971,-0.224991384030299,-0.116508343654358,-0.100905743573247,0.168363707824727,-1.02293976222625,-0.0196799839092967,-0.206706320859752,-0.0966322616262393,0.0209983699795532,0.0316658633697626,0.0512689307175418,0.0184894412061152,0.0191716066022422,0.0118388297233536,0.0314178361754342,-0.0202586718990305,-0.274043024309236,-0.109848945052535,0.103476388938367,0.117782825977214,-0.064177678737913,-0.190905591802163,-0.00203772969918191,0.235222735058272,0.223255241396466,-0.0315281775175868,-0.0143386404923314,-0.0135743584954502,-0.00184526480350067,0.151080272014701,-0.419984450534739,-800.456854614393
0.226584713953276,0.00931287089398621,0.100533463276113,-0.162266953629198,-0.594176761312666,-0.0482909634835006,0.685638771587366,0.211756002404682,-0.125817797399403,-0.241580020835967,-0.143277640955551,-0.0952688344391888,0.245691975605663,-1.5163937585909,-0.0585497003169338,-0.345205595392678,-0.234295354189228,0.0588745269891825,0.185520910914648,0.134284339783915,0.0424239836505083,-0.00773978194036925,0.0559850031988365,0.0714162337458572,0.0438653006756807,-0.576121814870889,-0.105451955403501,0.205425728107175,0.153211144464579,0.100004449927972,-0.363984828890178,-0.0209305670828086,0.335586023613617,0.298095851643886,-0.0538828569861689,0.059165594805205,0.0103066834590066,0.0373702656988455,0.139990747056768,-0.553028627073368,-752.720055924123
0.670551004683438,0.0408881163199719,-0.0365512260282826,-0.0174665662152008,-0.841174367635568,-0.0383050396440789,0.957419238975882,0.149335840973662,-0.1463755666383,-0.407694993033668,-0.0681604031049947,-0.07896549807493,0.245186235059351,-2.10290377546264,-0.0822684040137856,-0.526072570821165,-0.378007640047844,0.0884846507609315,0.393466890039769,0.237574663455863,0.043301318438058,-0.0158344166594949,0.10370429778852,0.119900876611568,0.0818294140709393,-0.756050302694024,0.0067866705738383,0.353172336437025,0.228908602348744,0.345104210557811,-0.389497567537398,-0.065080764786671,0.215558169860638,0.253218353954105,-0.089470515235921,0.0790023733239336,0.0304862023910095,0.0273244913680695,0.0741031719296583,-0.538007078552383,-734.214692588764
1.32382336055389,0.113946187422114,-0.139791390845159,-0.169426935510624,-1.07775084103458,-0.159391886331255,1.14695956066351,0.0340401951039001,-0.238634196367993,-0.401862863481429,-0.0456096846074583,-0.13510444468285,0.132306141551507,-2.1200568177296,-0.139484506062134,-0.619878891482302,-0.497709009305378,0.123134444673309,0.54402514674589,0.270491422575789,0.0537553521942204,-0.0508218901203763,0.142302464932829,0.173879529072938,0.0860468839924357,-0.873203942064765,0.233810226510572,0.579373521188156,0.308237020097354,0.520571418500101,-0.359049503920576,-0.122067886104468,0.0683862673327607,0.176453845217526,-0.108787880190292,0.0794122014345491,-0.0418785089574318,-0.0653934295985079,0.0383923590354609,-0.538578843909734,-726.361016438991
3.37423954723942,0.66265811079252,-0.115582932707019,0.234594997049024,-1.34253838921642,-0.419304746135419,0.867453932296932,-0.308437577883795,-0.499028966138193,-0.813440098168307,-0.0164803460604894,-0.223374574656855,-0.215376909566979,-2.44802071171204,-0.162637653752075,-0.60167410171759,-0.608956273038135,0.104303396166941,0.570733710956656,0.195816424310633,-0.019823037943583,-0.111105399060644,0.138444819411737,0.156797203238025,0.00772995761905523,-0.96219494613935,0.968560964549652,1.33312523047489,0.341184289109371,0.83425308820943,-0.336791679288775,-0.229579509968274,-0.0905309404346776,0.0177892157880102,-0.181900835273419,-0.00123086201089351,-0.222805412451068,-0.252419777034322,-0.0193163596588575,-0.762691252661805,-717.142958288818
5.3851632310714,1.84396861151045,-0.180154660937628,0.589968799003952,-1.56436267405853,-0.732531477220143,0.700961200065458,-0.831327513863063,-0.660364802457006,-1.15213114451219,-0.152165118833125,-0.418813081333464,-0.512240774802557,-2.73051939124818,-0.177412545233556,-0.345221449214887,-0.736799292487064,-0.0600957833762298,0.493383602863176,-0.115422616442067,-0.0766317470553453,-0.266614656613548,0.0108475491652453,-0.0129696939024559,-0.176737588799018,-1.29115649599509,0.863435918823685,1.23494825005896,0.303673728186557,0.833503015008716,-0.286716344123889,-0.24917825260799,-0.118521871871481,-0.0327565276119919,-0.144883080430794,-0.00275612502626019,-0.222947372453422,-0.215703421742185,-0.0677824066280104,-0.720681501767378,-712.441579725005
7.09394305555927,3.24265030120779,-0.195780948420424,0.941236249927681,-1.74540068753928,-1.00796146506233,0.535526769556127,-1.18376595961157,-0.796926668333388,-1.36105240750145,-0.294789915260599,-0.640781172770777,-0.786427835699599,-3.01974175214815,-0.22830448729488,-0.0224192283545913,-0.848655788776218,-0.242365957333917,0.364370691983994,-0.438809365844514,-0.169614960517601,-0.434216346192999,-0.161248106286651,-0.206907579763148,-0.413615762387403,-1.65228497094676,0.0156182249119173,0.395982709957812,0.31656500304897,0.63313686892689,-0.222696375908653,-0.15262083858529,-0.0420764511908838,0.185914289821009,-0.095419687842406,0.131058492396408,-0.0972908151436009,-0.0853483847116016,0.0641870771791543,-0.520563123631007,-710.930429947547
7.77523143092402,3.84576023337319,-0.216652585070247,1.09172731624253,-1.80669026720796,-1.10302261187832,0.471341999192064,-1.34152246496235,-0.838823321661453,-1.45290711179748,-0.373864451964457,-0.736204276457605,-0.886441513355389,-3.20705079776147,-0.248001920679578,0.107796005933787,-0.907126869186573,-0.32540947419283,0.327682135016849,-0.591265078090695,-0.197505923048472,-0.508966834206947,-0.229867905780944,-0.292644277763014,-0.493458901993135,-1.8435410010436,-0.821548020044636,-0.45692328269172,0.342898242964224,0.430885492465973,-0.150054855610598,-0.0256793656534985,0.032878900409323,0.377870350429131,-0.0368240413485108,0.222806034871127,-0.0144753532017396,0.0319065029812887,0.203795884531023,-0.297355538280384,-710.745433113119
7.74704442162459,3.86050078775752,-0.229678198026082,1.07298038475933,-1.8048377350065,-1.09379999113782,0.488086799070841,-1.3382757900223,-0.829308178508231,-1.44364653121986,-0.381094610099454,-0.735213217294875,-0.875385686419592,-3.21135008529968,-0.251156702488114,0.101777757063303,-0.910684197461839,-0.32685193566968,0.330557278064878,-0.59215113202389,-0.198715064842798,-0.509499905032091,-0.22696451418639,-0.291561142651739,-0.492187553731653,-1.84702553721593,-0.880624477974921,-0.520562880396423,0.346864573519646,0.435606360733907,-0.143672869802583,-0.0140616742689657,0.0287386438578773,0.413676063805083,-0.0472655721116552,0.237637824960712,-0.00765337940825079,0.0389865297556688,0.210217499407645,-0.26932532061411,-710.721039383647
7.72952930342046,3.83419083829931,-0.217371524508032,1.0715027199762,-1.80315860207392,-1.09116375996448,0.483935564066256,-1.32757273078641,-0.826733219078238,-1.44334686718871,-0.376933623615725,-0.729252301191603,-0.881151115184963,-3.20635845643144,-0.250138454929,0.0926866778398999,-0.909391600111702,-0.322369412940174,0.334245947903554,-0.586820068859787,-0.195982435066516,-0.506656260175961,-0.223100810066397,-0.286545429716257,-0.488338701106661,-1.84134725047991,-0.903864498754248,-0.541221917116405,0.348311930125502,0.437188429737703,-0.140426506947811,-0.0148721417731809,0.0280726775038828,0.417647145523657,-0.0470154587130638,0.239790176910776,-0.00516939877611045,0.040132446399293,0.214443311854239,-0.261995726381763,-710.716880609439
7.72516273102029,3.83316076665905,-0.220087570041517,1.07062187522024,-1.80118460677125,-1.08863790225358,0.485103564591121,-1.32780080026756,-0.82529253156711,-1.44065360284388,-0.378280136466509,-0.731684987178897,-0.878212886820311,-3.20740734303631,-0.249400070282222,0.0925855735225794,-0.910336653561057,-0.321939212494608,0.336223749066428,-0.586861696150018,-0.195350069602097,-0.506627692985625,-0.223615487461701,-0.287030535473862,-0.488159917078801,-1.84257980167661,-0.909089355923246,-0.546655104781874,0.349538724339149,0.436064361257879,-0.138898826773131,-0.0148322665764486,0.0267582335973009,0.417816332584849,-0.0466218292929033,0.239414304009045,-0.00437013990654015,0.0409013784538717,0.215386237584733,-0.259651296185166,-710.716005464346
7.7331517187251,3.83695194713487,-0.219086804571767,1.07168445579654,-1.80120852392114,-1.08954487956037,0.483343634860541,-1.32934397726093,-0.82593669046881,-1.44083599035829,-0.379842680632551,-0.732468474905607,-0.881810150625737,-3.20608333961952,-0.249445249454979,0.0931715952376567,-0.910978137333359,-0.322589567825815,0.336013613825148,-0.587319243334518,-0.195606294725876,-0.507178420380558,-0.223863864708298,-0.287675241760082,-0.488544757218899,-1.84397625488992,-0.909801712507262,-0.548300310097522,0.349215918894409,0.4358047592316,-0.138750266487775,-0.0143749805493635,0.0272624810683869,0.418073963009282,-0.0463889466656162,0.239944272340546,-0.00445986495952464,0.0414348360821386,0.214791860297705,-0.259440875520813,-710.715833129086
7.72849808391839,3.83779271803907,-0.220290912270101,1.07236385613493,-1.80021216141363,-1.08828812989721,0.484151401196441,-1.32912655493264,-0.824687224358396,-1.43998215329196,-0.380670564815818,-0.733048328062301,-0.880377457186892,-3.20773100712405,-0.249333390029257,0.0937802027365239,-0.910971576163319,-0.322875049150171,0.336064420199982,-0.587711778368661,-0.195523038719015,-0.507314940154884,-0.224206573822211,-0.287985202966451,-0.48886967023654,-1.84420973751832,-0.90958133608011,-0.548011961520162,0.34896017926858,0.435831264083029,-0.138912964446121,-0.0144757938640915,0.02718169639684,0.418218966040948,-0.0463939362790418,0.240108568342769,-0.00416986771338642,0.041436491801301,0.215031493077782,-0.260002700723278,-710.71577289613
7.72990112052661,3.83816696369211,-0.220217175367008,1.07234419151316,-1.80026442361102,-1.08839144639596,0.483722486408991,-1.32898196480081,-0.824898029248406,-1.44009661037923,-0.380712260742824,-0.733310138947982,-0.880573948245504,-3.20756085376992,-0.249358734013821,0.0936176074702077,-0.91096286455502,-0.322794058700256,0.336020731659193,-0.58770412091227,-0.195626200262796,-0.507381989316649,-0.224267427768815,-0.287911624644121,-0.489001541754339,-1.84412863301865,-0.909100501236747,-0.547336180086917,0.349200452525287,0.435845397929809,-0.138963295439929,-0.014647451524369,0.0270400871330511,0.417896563152507,-0.0463085140116577,0.239881453727549,-0.00422797104101572,0.041202356618779,0.215206557869138,-0.260194446576487,-710.715765680478
7.72948760516666,3.838021897154,-0.220213401482305,1.07225106034397,-1.80021633114578,-1.0883711481453,0.483822429800481,-1.3288996797761,-0.824815982664475,-1.44001448469718,-0.38080426629133,-0.73324958703886,-0.880598407880363,-3.20746835165759,-0.249365508340571,0.0935945060970244,-0.910924513717519,-0.322814507292089,0.336016674309775,-0.587709811028918,-0.195594887566194,-0.50734943492512,-0.224235223512841,-0.287907673325517,-0.488939883811454,-1.84413066463069,-0.908642944496062,-0.546884222501796,0.349151270557031,0.43595275732609,-0.139024310170071,-0.0146719202682772,0.0270027233815769,0.417797062672498,-0.0463452248309473,0.239814836258561,-0.00428995846988894,0.0411867944916466,0.215061320549645,-0.260221446373655,-710.715764755971
7.72964760450144,3.83802360960254,-0.220159235804081,1.07240288529793,-1.80020933601481,-1.08839177066503,0.483736305191896,-1.32891545117221,-0.824818378113184,-1.44009505720348,-0.380828020497351,-0.733233683107874,-0.8806887680407,-3.20755862309924,-0.249355655506627,0.0936098726603892,-0.910918285927253,-0.322828258145337,0.336007466586258,-0.58772121788797,-0.19559075822006,-0.507347063331366,-0.224226556514119,-0.287918423147797,-0.488930159972947,-1.84414352604177,-0.908497450344267,-0.546746718836401,0.349112912596565,0.435992970548841,-0.139050047481737,-0.0146701817278377,0.0270090812251577,0.417794750242714,-0.0463717977431158,0.23981886132557,-0.0043130127914722,0.0411841619895032,0.215024826591906,-0.260248006557963,-710.715764667173
7.72961202122682,3.83803891343407,-0.220182977512519,1.07235355177088,-1.80020995222294,-1.08838182360638,0.483755811286018,-1.32890035426114,-0.824820615797771,-1.44006122016424,-0.380827331005333,-0.733253539672791,-0.880651797368603,-3.20752286906334,-0.249357306211286,0.0936067911810552,-0.910921533474686,-0.322821137144166,0.33600672128383,-0.587710713537382,-0.195600701839202,-0.507350513297251,-0.224232034591576,-0.287914968032722,-0.488939912456796,-1.8441311268997,-0.908536163847914,-0.54678181685322,0.349113303812142,0.435993819044751,-0.139047640523715,-0.0146768691384995,0.0270129840601465,0.417792798623138,-0.0463591615786677,0.239828004293124,-0.00430505362476114,0.0411799380657739,0.215043369785962,-0.26026680544411,-710.715764629164
