"asc_continue","b_expected_los","b_clinical_situation","b_age","b_frailty","b_life_expectancy","b_suffering","b_disability_cardiovascular","b_disability_pulmonary","b_disability_renal","b_disability_neurological","b_disability_gastrointestinal","b_family_values","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,-294.587551737977
0.12467235978039,0.193916792936259,-0.1928840734996,-0.318332158848282,0.0308130312883652,0.380819138216846,0.322579426081838,0.0020347091424548,0.0256539692415738,0.0152051360239604,0.0379385457805147,0.20248826648737,-0.760747128727063,-237.601148452818
1.35236851183512,0.131779234307994,0.0663430980569809,-0.954456534935944,0.00508531780707648,0.810952781059461,0.455127425140092,-0.109836044986028,0.011634099625682,-0.0443435760400669,-0.0216126952705769,0.278106338793528,-1.88662405881944,-214.282325956933
3.21954105640975,0.155545614590776,0.495329955450779,-1.08011677477981,-0.266287011172313,0.534248312361123,0.0451658320373343,-0.309569228805687,-0.216911373773626,-0.171269451413207,-0.267251411591098,-0.107127668070283,-2.09341526020439,-210.761825992794
4.52329397970527,0.134798746974349,0.752784260627356,-1.22190785918353,-0.444410648505017,0.431930029119104,-0.289739357049755,-0.372154856062232,-0.424071028209133,-0.313492050741408,-0.400431427096364,-0.305642308068418,-2.46762406513618,-209.731251344883
4.74072954659627,0.1053144729789,0.790033311911915,-1.23488849788937,-0.479857229750388,0.395079705003027,-0.335776961661445,-0.383047581754332,-0.442724955148226,-0.323102614590272,-0.412473012706172,-0.370080197049083,-2.50067304220708,-209.66704316809
4.80184799503366,0.101733636103354,0.795466103492965,-1.23992244707589,-0.484582456680098,0.391962269379207,-0.359655755727433,-0.38194374550974,-0.454389761664586,-0.336599862316009,-0.419085603541197,-0.371590949709262,-2.52471955565999,-209.660113024571
4.85062592899962,0.0970364389261028,0.803611682689237,-1.24491234588239,-0.490003430812103,0.386085705025774,-0.367104908399111,-0.386560698038878,-0.457675803075399,-0.340744887599819,-0.423072851936525,-0.379926143800037,-2.53501810442916,-209.658927729892
4.84587955654892,0.0970060449824393,0.802039459200638,-1.2445299138753,-0.489671265316261,0.386235794187428,-0.366781091321004,-0.385821022724698,-0.457428411936698,-0.33980529428017,-0.421934909442536,-0.37930514542288,-2.53314371586691,-209.658902764019
4.84580083667971,0.0970236497081167,0.8019904498604,-1.24459341494861,-0.489523622130461,0.38625120515214,-0.366608585582215,-0.385918179755492,-0.457389066993063,-0.3398804130267,-0.421927863018424,-0.379061727300664,-2.53312743670495,-209.658901292351
4.8457734070339,0.097004653472828,0.801979039185115,-1.24460895039456,-0.489499562954657,0.386244335616632,-0.366582119167874,-0.385931562984297,-0.457373476443083,-0.339883088830808,-0.421907470964425,-0.379014043746649,-2.53311476664031,-209.658901247183
4.84578405905759,0.0970036489624942,0.801970430860821,-1.24461035966547,-0.489497758701196,0.386238824479921,-0.36658335923799,-0.38593327745154,-0.457377228560102,-0.33988378264155,-0.421903429935535,-0.37901225230788,-2.53311008181364,-209.658901246135
