"asc_continue","b_expected_los","b_clinical_situation","b_age","b_frailty","b_life_expectancy","b_suffering","b_disability_cardiovascular","b_disability_pulmonary","b_disability_renal","b_disability_neurological","b_disability_gastrointestinal","b_family_values","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,-329.244910765975
0.158683986514619,0.0255434518563213,-0.306317245100233,-0.237747133786117,0.0674415902458089,0.402377865322989,0.189900746979685,0.0220377336126008,-0.0254842198083059,0.0323025911064328,0.0400833680891751,0.154245403251066,-0.616394372153389,-276.04642746931
1.31167536484043,-0.150075140081536,-0.533365980083564,-0.754738046771667,0.108024471429574,0.823440585595749,0.242250038243303,-0.0667324629798766,-0.166255931054271,0.0745663953409415,0.0799190972463439,0.128837632923172,-1.39201646506573,-250.837294365431
4.96312789889901,-0.171362017964183,0.290909252164044,-1.05322475868999,-0.405280414941419,0.405306227331854,-0.610313244742335,-0.370477399022081,-0.637128890813165,-0.263400262542612,-0.410619636376408,-0.468174407139383,-2.08238648531707,-242.976342303053
5.54354430941824,-0.246357675983873,0.381030934353484,-1.13277350106678,-0.478960282018641,0.384885820529115,-0.756504078589479,-0.369662677425568,-0.722532037168893,-0.334913930507828,-0.460486007562676,-0.576289506916162,-2.30269159656206,-242.467874734103
5.7624118616004,-0.25198082200356,0.411158040884298,-1.15046818490787,-0.508604260700337,0.362201199080102,-0.810034178918169,-0.384455806097714,-0.746403516676709,-0.348320978400007,-0.486492671385055,-0.607245276199131,-2.34895983679004,-242.434439771383
5.83317741899101,-0.257266741950667,0.42698993065785,-1.15760568110723,-0.519722768763892,0.359722480061845,-0.833086687439606,-0.383268596311224,-0.755165864649942,-0.357926898575205,-0.497450940850741,-0.617182774451026,-2.37447452587691,-242.430885021681
5.83210924222154,-0.257399287394672,0.425024132898,-1.15778071876739,-0.518998088574627,0.360071864303318,-0.83132937987843,-0.383370800025639,-0.755237492254118,-0.357610316667355,-0.496854785003326,-0.617483745594352,-2.3734224777663,-242.430848389096
5.83148921296614,-0.257185187583061,0.42513002732571,-1.15766010358577,-0.519030686901107,0.360201897870514,-0.831399961618928,-0.383251014770453,-0.755179287955192,-0.357590511692743,-0.496916905105375,-0.617339190674568,-2.37341512235048,-242.43084648704
5.8314997803806,-0.257173807341956,0.425168245037028,-1.15764978441667,-0.519040405087067,0.360224205280538,-0.831417238631634,-0.383241844124599,-0.755167327048108,-0.357603007800065,-0.49695828086939,-0.617351209425945,-2.37344704054176,-242.4308464458
5.83151503520466,-0.257171473744033,0.425167374146263,-1.15764915641161,-0.519044353240303,0.360224306071461,-0.831421150128516,-0.383241214751431,-0.755171788424199,-0.357603600573601,-0.496960518066846,-0.617359148542722,-2.37344951368222,-242.43084644467
