"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",5.04060350931469,0.940400409245858,5.3600609482475,0.784587909244266,6.42452356189114
"asc_withdraw",0,NA,NA,NA,NA
"b_expected_los",-0.271676269099082,0.234665510203226,-1.15771707936033,0.1820603170922,-1.49223220874375
"b_clinical_situation",0,NA,NA,NA,NA
"b_age",-1.09958549191409,0.14580583100917,-7.54143702143805,0.152749265611681,-7.19863030117252
"b_frailty",-0.367787688937455,0.160579183821348,-2.29038210423735,0.132460702475855,-2.77657963503927
"b_life_expectancy",0.425334164904257,0.168977238705632,2.51710921637922,0.131322562014976,3.23885064666764
"b_suffering",-0.5714047075705,0.282225952127613,-2.02463559166993,0.240565941189723,-2.3752518945309
"b_disability_cardiovascular",-0.348345037905885,0.1337011521451,-2.60540041964516,0.107350358249619,-3.24493596095775
"b_disability_pulmonary",-0.679922243586107,0.188009970566532,-3.61641588229226,0.160974569242508,-4.22378669367212
"b_disability_renal",-0.235619622349232,0.17571867066253,-1.34089121810933,0.136252334191893,-1.72928870354172
"b_disability_neurological",-0.334985291808434,0.17712938732369,-1.89118980689678,0.180769634210958,-1.85310598912595
"b_disability_gastrointestinal",-0.449264142894245,0.246208233486307,-1.82473240854974,0.172417452057413,-2.60567673128963
"b_family_values",-2.08227782992837,0.279982051531953,-7.43718327133815,0.340585310615858,-6.11382160364793
