"asc_continue","b_expected_los","b_clinical_situation","b_age","b_frailty","b_life_expectancy","b_suffering","b_disability_cardiovascular","b_disability_pulmonary","b_disability_renal","b_disability_neurological","b_disability_gastrointestinal","b_family_values","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,-623.832462503943
0.0989985955450597,0.0922878948952588,-0.211383922243434,-0.20243335186228,0.044636297767137,0.308647731715152,0.201036557976018,0.0166204715107385,-0.00287402439106595,0.00380414625676431,0.0256449873887507,0.150589258522742,-0.558095393671645,-532.080355627773
1.16897569253366,0.0196145639722419,-0.29561042984478,-0.796481154024727,0.0705704528318432,0.792553892183215,0.330606381934221,-0.0671835025294814,-0.0904687683901178,0.0297503833864663,0.0442306152759056,0.202788151438112,-1.51780795500557,-469.272599826874
2.80817266724532,-0.00851051557118736,0.0690194941833109,-0.959277813926517,-0.156579519294687,0.60536089772001,-0.00254368269733768,-0.237521977764514,-0.276349890312159,-0.0731728903154624,-0.149164486149647,-0.0956803101094911,-1.7753520483737,-460.413138591625
4.44450814552074,-0.0342772264195227,0.425636382930403,-1.1046101597005,-0.392671817352005,0.433910404650096,-0.442617646228456,-0.320553503411473,-0.524300735768128,-0.246911147876874,-0.345390002461189,-0.373221681677844,-2.16340067527103,-456.225607480859
5.37783798379965,-0.0797923755871364,0.60063726575086,-1.19272659683465,-0.502181493242884,0.356003905281385,-0.624804584802954,-0.389650639587133,-0.624917350285848,-0.35065295089931,-0.462249803122419,-0.516955123014796,-2.41655534631312,-455.615589021754
5.33621959972345,-0.0809030122099351,0.585824084341625,-1.19002308737053,-0.497745977751227,0.363513628069204,-0.616366702121673,-0.385698096586055,-0.618853040553816,-0.346344131016894,-0.452865445309863,-0.50484872842885,-2.41256705497963,-455.607296111209
5.3306635546901,-0.0824074096205647,0.581748357334432,-1.19051984356619,-0.4956618413002,0.364818019594789,-0.613704886747814,-0.384953463562236,-0.618157587789956,-0.346472548557427,-0.450756259635486,-0.502695547541215,-2.41289180177384,-455.606862191063
5.33287140590466,-0.0825006142999568,0.582007642593276,-1.19074372218657,-0.495880334293751,0.364269660238208,-0.61416124099818,-0.385252513601206,-0.618319937790798,-0.346541511169597,-0.450784850526283,-0.502816832809305,-2.41301970816545,-455.606840920653
5.33331501787795,-0.0825568593392428,0.582178733375665,-1.19080430561219,-0.49593886056373,0.364170353159926,-0.614358118744821,-0.385251634251591,-0.61837835514412,-0.346615847038748,-0.450831408163211,-0.502836334576099,-2.41311214661428,-455.606839781147
5.3335236050779,-0.0825744990029568,0.582181878255625,-1.19083821070096,-0.495944792614806,0.364138543333805,-0.614386315266041,-0.385276386506438,-0.61840208607094,-0.346634989852444,-0.450829197846697,-0.502840935805622,-2.41314487464871,-455.606839691132
5.3335206398913,-0.0825757368594485,0.582181378107006,-1.1908378592099,-0.495946666509755,0.364140759389582,-0.614390257483931,-0.385272756756843,-0.618401774725059,-0.346634021493979,-0.450828323901676,-0.502840649585665,-2.41314824335231,-455.606839689795
