"coefficient_name","weight","robust_se","wald","p_value"
"asc_continue",4.84578405905759,1.63534347283508,8.78031607701883,0.00304498432109357
"asc_withdraw",0,NA,NA,NA
"b_expected_los",0.0970036489624942,0.202045487209596,0.230503664048654,0.631150620445756
"b_clinical_situation",0.801970430860821,0.446657840363494,3.22379033018941,0.0725753990638043
"b_age",-1.24461035966547,0.204860104260549,36.9106798387339,1.23666688001123e-09
"b_frailty",-0.489497758701196,0.237254941312088,4.25667882201425,0.0390962866306221
"b_life_expectancy",0.386238824479921,0.186340268475008,4.29633779060286,0.0381945360062115
"b_suffering",-0.36658335923799,0.520628216610893,0.495781239927554,0.481359697296897
"b_disability_cardiovascular",-0.38593327745154,0.0932798892633132,17.1178182760018,3.51311632775797e-05
"b_disability_pulmonary",-0.457377228560102,0.22736859701749,4.04657983710495,0.0442609321481733
"b_disability_renal",-0.33988378264155,0.28478684179438,1.42436419189209,0.232686412052758
"b_disability_neurological",-0.421903429935535,0.394508517506178,1.14370322007125,0.284871176253693
"b_disability_gastrointestinal",-0.37901225230788,0.289935209451906,1.70885251332694,0.191134318732464
"b_family_values",-2.53311008181364,0.566182646964828,20.0168169615338,7.67640825793947e-06
