"coefficient_name","weight","robust_se","wald","p_value"
"asc_continue",4.47153166380058,1.07396110282927,17.3354658369803,3.13285069042379e-05
"asc_withdraw",0,NA,NA,NA
"b_expected_los",-0.200525415967312,0.175898716573131,1.2996113945856,0.254284219047544
"b_clinical_situation",0.322326607074779,0.299976099035941,1.15456664580365,0.282595227140018
"b_age",-1.18567895401954,0.146582691300913,65.4287826301906,5.55111512312578e-16
"b_frailty",-0.261934928572849,0.173788977585733,2.27165498911508,0.131759132575901
"b_life_expectancy",0.449650163458813,0.142654299689448,9.93527240447534,0.00162141438687491
"b_suffering",-0.298663678165991,0.35198754604072,0.719963075309197,0.39615602138597
"b_disability_cardiovascular",-0.419897772097033,0.0920093647272613,20.8268254109493,5.027385432399e-06
"b_disability_pulmonary",-0.503750519467254,0.16829851690294,8.95922485074694,0.00276072003986361
"b_disability_renal",-0.324147816647799,0.183575992524935,3.11784435762149,0.0774391645677662
"b_disability_neurological",-0.22629827082515,0.253536450693189,0.79667586103108,0.372089094467199
"b_disability_gastrointestinal",-0.483286717323055,0.215709506996886,5.01962352226892,0.0250616174090608
"b_family_values",-2.01359426637766,0.32993683024982,37.246231332835,1.04116004706611e-09
