"asc_continue","b_expected_los","b_clinical_situation","b_age","b_frailty","b_life_expectancy","b_suffering","b_disability_cardiovascular","b_disability_pulmonary","b_disability_renal","b_disability_neurological","b_disability_gastrointestinal","b_family_values","d_asc_continue","d_expected_los","d_clinical_situation","d_age","d_frailty","d_life_expectancy","d_suffering","d_disability_cardiovascular","d_disability_pulmonary","d_disability_renal","d_disability_neurological","d_disability_gastrointestinal","d_family_values","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-623.832462503943
0.163976776518074,0.0669404172069463,-0.252367940944447,-0.255339071780879,0.0531107690544661,0.37825344219671,0.20568665455655,0.0118399087178139,-0.0155565282091358,0.0376182665695017,0.0433917578210267,0.148688742678327,-0.614604839132525,0.0900566106738539,0.130249706544498,-0.0168768417170623,-0.209570105448355,-0.0168150997944876,0.155402018088449,0.189528960189266,-0.0261204718020119,0.0335059613821551,0.0283777939219324,0.0280688251830351,0.0823277703480352,-0.353754733077787,-503.475141357532
1.41004831356334,-0.130743643435237,-0.434481836813166,-0.745442453579569,0.0769577697782249,0.787047688183751,0.20435332494972,-0.0740415880778546,-0.165090142132574,0.0464292558589688,0.0412707779893547,0.108323816638383,-1.4251726091444,0.933118805186245,0.200521732616974,0.696409070475405,-0.356945982011804,-0.17903903610811,-0.0198082499944771,0.105067640293708,-0.146093490123868,0.0839219734338917,-0.169598717788955,-0.152933627284113,0.0360885778343885,-0.731349606812594,-463.098909938436
3.14542305207806,-0.164633075512262,-0.126061983906646,-0.909508047376425,-0.160709086789454,0.595783526525032,-0.186011811161554,-0.228272851087742,-0.402864434862539,-0.0684595795178772,-0.151067571019124,-0.190078042012699,-1.68206156087203,1.06989223035688,0.310347449325352,0.80528684507697,-0.276738050223182,-0.226493640307898,-0.151179174288722,0.00405263983782049,-0.149754800305012,0.0438569484812067,-0.203596014858652,-0.227315701560927,-0.0702969512137322,-0.649984601026166,-455.156898781654
4.87133475163751,-0.218891543877778,0.234027033063477,-1.07500956165207,-0.38855724020054,0.439820854650934,-0.596620216073736,-0.335914466478748,-0.63926016748244,-0.249833275211274,-0.365597912109144,-0.468487407729429,-2.11184995209707,0.0936782936254416,0.326819730158808,0.623383268556145,-0.173683280593449,-0.136067042929677,-0.0606482588865349,0.148280052063775,-0.0338471041851412,0.146929100707674,-0.105610593054766,-0.0872597471748219,0.0607694010710409,-0.460209290790284,-452.488022973553
5.8431160055356,-0.251699820901279,0.440087388285901,-1.15807631448761,-0.520759223920225,0.354902474391713,-0.837087763795864,-0.386128758204635,-0.759085980875957,-0.361206906005449,-0.500656047115155,-0.621140933888195,-2.37605518266078,-0.76250421626169,0.337995953806566,0.41336950350379,-0.112798671304151,0.00262872152875362,0.0168554508172854,0.437844747448567,-0.0208164169535147,0.281603612768417,-0.00347100657738433,0.0511869128949112,0.200619210399455,-0.225604869933028,-452.116551745503
5.83777881324243,-0.257328331413835,0.426027319619733,-1.15787991713267,-0.518630420084495,0.358134268169188,-0.829968945964881,-0.386075073073675,-0.755014373886161,-0.358156040621088,-0.497213667660872,-0.618338631781792,-2.37355456572451,-0.964915794472616,0.351871989391247,0.374311979421741,-0.0891326698768523,0.0260380092674566,0.0267177048901186,0.454053211504183,0.00217384283773332,0.292161034326294,0.0154055265651496,0.0745563383014602,0.233969832368362,-0.167155289472911,-452.091703632627
5.82498350773358,-0.257403905917209,0.42425830664036,-1.15679999255467,-0.518495619875488,0.360587234888514,-0.83025149650329,-0.382681522107428,-0.754257250486472,-0.357155486963738,-0.496059753372472,-0.616218877923212,-2.37222834724682,-0.974363470620384,0.353143083567878,0.378066353758611,-0.0883537560680699,0.0285656226100241,0.0251255065973333,0.461496482065746,-0.00300523560791641,0.296536588818694,0.016627610318657,0.0739913237472529,0.237060231738411,-0.162241520672609,-452.089836751118
5.83070219210065,-0.257221449053173,0.424753604842393,-1.15760461467669,-0.518750339807537,0.360161021971149,-0.830785656293715,-0.383458134921867,-0.755029244704385,-0.357448659961869,-0.496698102257237,-0.617216789476825,-2.3729724937299,-0.980520208947643,0.35397317925917,0.377570643119849,-0.0875220802304707,0.0289960030639589,0.0254957197032004,0.463676391031761,-0.0030174045908445,0.297250768847294,0.0170966900817232,0.0744918853332564,0.237789913515485,-0.160826302677494,-452.089762844313
5.83169907769554,-0.257140671990966,0.425227797468429,-1.15767442923938,-0.519065186274663,0.360200852797951,-0.831478005151577,-0.383258107876446,-0.755206948398394,-0.357617604817768,-0.496992293937276,-0.617378670167233,-2.37347492479309,-0.98545609261438,0.354100122777361,0.376737796003097,-0.0870160696146499,0.0295577962876527,0.0259371856454479,0.464842216067035,-0.00273810014973974,0.297766412638017,0.0176913176104019,0.0751141460082691,0.238375729549288,-0.159675429012118,-452.089748035333
5.83152375505581,-0.257173157057968,0.425169257659033,-1.15765240936753,-0.519045628759114,0.360227338692437,-0.831426494239152,-0.383238549771358,-0.755172586433675,-0.357605103734595,-0.496962104122485,-0.617361239004641,-2.37345524909253,-0.98569171492336,0.354145567253203,0.37679818178217,-0.0869702001436153,0.029544157513587,0.0259992194664729,0.464807109368038,-0.002683826677473,0.297788093180021,0.0177154905329976,0.0750757234896464,0.238362398690722,-0.159674524861267,-452.089747733461
5.83153054469003,-0.257172078935509,0.42516857383022,-1.15765077701738,-0.519045840341693,0.360222887812319,-0.831423400026527,-0.383242834266345,-0.75517370292969,-0.357604167027027,-0.496962060773251,-0.617361861075721,-2.37345223474641,-0.985630725634935,0.354168486935666,0.376812740080824,-0.0869737777833712,0.0295423835186489,0.0259985477131434,0.464833195394111,-0.00270922795816943,0.297788561993829,0.0177088438998169,0.0750519548692598,0.238339866498638,-0.159673791662695,-452.089747701988
