"asc_continue","b_expected_los","b_clinical_situation","b_age","b_frailty","b_life_expectancy","b_suffering","b_disability_cardiovascular","b_disability_pulmonary","b_disability_renal","b_disability_neurological","b_disability_gastrointestinal","b_family_values","d_asc_continue","d_expected_los","d_clinical_situation","d_age","d_frailty","d_life_expectancy","d_suffering","d_disability_cardiovascular","d_disability_pulmonary","d_disability_renal","d_disability_neurological","d_disability_gastrointestinal","d_family_values","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-623.832462503943
0.0959103883716948,0.0639275083031315,-0.202413107381769,-0.210337046048955,0.0436523729630442,0.300121275657234,0.194485357761591,0.0100620128225877,-0.00557275293316158,-0.00575406784660081,0.0226630827309982,0.120871564354747,-0.523476366764222,0.115794645778809,0.165876474753419,-0.118382956386308,-0.0911418882647613,-0.0367426335670064,0.169827010021272,0.0934532609328339,0.0339238573090974,0.00810827686245478,0.126903048270198,0.00941192523697064,0.207024351226721,-0.430362469966327,-520.665410601255
0.704325507283367,-0.0541787161748475,-0.335073553804471,-0.707494464687708,0.139609992615636,0.775927527544295,0.40128698910586,-0.0488232822456728,-0.0224461382397504,-0.0251525840535372,0.0828792462928851,0.154628430539455,-1.23468741876683,0.920915418698766,0.393315768719961,0.0273456727079821,-0.100588011861558,-0.341660660059919,0.0842140758637289,-0.269280589667236,0.110579738143279,-0.130805271250231,0.285581241314501,-0.227516669600527,0.348551902793828,-0.926205398450192,-464.511006247775
1.87001330457777,-0.129016008107521,-0.14189667620293,-0.916605299063856,0.0501021928585832,0.706351010220455,0.271571665807833,-0.225721054925513,-0.139086847485435,-0.0678005838508108,0.0351057125891156,-0.0675006883350702,-1.41849887853237,2.03944405069287,0.452938910080045,0.567478794946528,-0.00330491435812162,-0.671525240504776,-0.136766503930703,-0.747893010705566,0.130682894473096,-0.244586582062824,0.123472432489327,-0.615966228957162,0.0960962695468985,-1.14379061507285,-452.786787986756
3.05389616915392,-0.135178810898376,0.0595086911893604,-1.04822506870323,-0.0848967200154417,0.582349303717224,-0.0169121806950633,-0.31453306822357,-0.338432673866873,-0.167567442799945,-0.0652526493000362,-0.266349938562436,-1.6499365053546,3.43587831580762,0.443128276740723,0.973595860203612,-0.0703894778580568,-0.92337312097244,-0.226965522177876,-1.16146188476105,0.102766182708435,-0.434649498689418,-0.0962426153275375,-0.885013123655284,-0.151380086722102,-1.60635828738148,-446.921359776125
4.34116338967651,-0.180843732547682,0.304142944678192,-1.1787707907041,-0.231954700084555,0.460758675209425,-0.22247246067401,-0.441198753490939,-0.479453885362271,-0.30920018345285,-0.215222831171503,-0.450505158815017,-1.96674030638042,4.60643688826519,0.470682700716653,1.25380143474028,-0.171683837851376,-1.08294684840704,-0.233053937428896,-1.48575056776438,0.0365490921532705,-0.558446674000274,-0.211113240523162,-1.11550331256178,-0.307098854219094,-2.02218434292122,-444.925655572535
4.35383672474792,-0.195812216077672,0.302469576476302,-1.17383356652462,-0.250810034462125,0.461487252955123,-0.282277181590525,-0.405918255852855,-0.494606415992033,-0.313313870433999,-0.212295321540596,-0.467541246797858,-1.98631158569401,4.57161270160717,0.3962682601133,1.27094417416681,-0.148212193613433,-1.12848856314431,-0.236756019645397,-1.47139477741537,0.056310913966736,-0.52764663443839,-0.18295887420756,-1.11150815960795,-0.304383747292651,-2.02647969845265,-444.741042633045
4.49672120385802,-0.201406060989904,0.326370131625347,-1.18893266041749,-0.265861657781381,0.447941867462228,-0.307281093463654,-0.419974673829524,-0.508996188404828,-0.325949637896687,-0.227423147609914,-0.489393035282122,-2.01935187143063,4.77080685852352,0.371947148805187,1.28669700891867,-0.161901699114229,-1.13578449085185,-0.240801067053458,-1.46856781543387,0.0260858887953152,-0.552487556972777,-0.212667065618488,-1.13219526918458,-0.335804033453688,-2.0681019931565,-444.698073707641
4.48205584163451,-0.201068921201871,0.324491702076571,-1.18688054272202,-0.263080439961619,0.448973415854157,-0.300791320086244,-0.420769701951775,-0.504592214946175,-0.325157943754667,-0.227641929919603,-0.484672270242648,-2.01664096844015,4.82435556903146,0.381446692779366,1.31018329276794,-0.166251178086596,-1.15774081323792,-0.232930122729666,-1.50752106283211,0.0398668674253194,-0.563999592016389,-0.22164226865703,-1.15018372470683,-0.334836674372851,-2.11376635674821,-444.696533264796
4.47803514235438,-0.200929616719227,0.323489994218642,-1.18637219195583,-0.262679839079891,0.449210142537257,-0.300234322911693,-0.42023491984011,-0.504324678956757,-0.324842015243182,-0.2271446691242,-0.484089175657457,-2.01551215425667,4.83422832794549,0.372561742915642,1.30299102937489,-0.166855406073231,-1.15307914690595,-0.235355199916949,-1.49269029119344,0.0310701881171228,-0.561760108502533,-0.219699750226086,-1.14792570646032,-0.337785100541874,-2.10536530048219,-444.69365977655
