"coefficient_name","coef","variable","max_util_contrib","importance_pct"
"b_expected_los",-0.257171473744033,"expected_los",0.257171473744033,1.82323243956215
"b_clinical_situation",0.425167374146263,"clinical_situation",0.425167374146263,3.01424935472616
"b_age",-1.15764915641161,"age",3.47294746923484,24.621667382544
"b_frailty",-0.519044353240303,"frailty",1.03808870648061,7.3595915489537
"b_life_expectancy",0.360224306071461,"life_expectancy",0.720448612142922,5.10766323174668
"b_suffering",-0.831421150128516,"suffering",0.831421150128516,5.89440963176638
"b_disability_cardiovascular",-0.383241214751431,"disability_cardiovascular",1.14972364425429,8.15103407161885
"b_disability_pulmonary",-0.755171788424199,"disability_pulmonary",1.5103435768484,10.7076705052254
"b_disability_renal",-0.357603600573601,"disability_renal",0.715207201147202,5.07050393714317
"b_disability_neurological",-0.496960518066846,"disability_neurological",0.993921036133691,7.0464622263892
"b_disability_gastrointestinal",-0.617359148542722,"disability_gastrointestinal",0.617359148542722,4.37680435585121
"b_family_values",-2.37344951368222,"family_values",2.37344951368222,16.8267113144731
