"coefficient_name","coef","variable","alternative","max_util_contrib","importance_pct"
"b_expected_los_continue",-0.227828024997278,"expected_los","continue",0.227828024997278,0.366282460929869
"b_clinical_situation_continue",2.9205563274927,"clinical_situation","continue",2.9205563274927,4.69542128950602
"b_age_continue",-2.78670858305025,"age","continue",8.36012574915076,13.4406969165391
"b_frailty_continue",-3.08035529144767,"frailty","continue",6.16071058289535,9.90466486028906
"b_life_expectancy_continue",0.0493442180830082,"life_expectancy","continue",0.0986884361660164,0.158662847841659
"b_suffering_continue",-3.2609325389598,"suffering","continue",3.2609325389598,5.24264912234021
"b_disability_cardiovascular_continue",-1.60227644362431,"disability_cardiovascular","continue",4.80682933087292,7.72801009271377
"b_disability_pulmonary_continue",-2.70536485793878,"disability_pulmonary","continue",5.41072971587756,8.6989096086036
"b_disability_renal_continue",-0.344049006776522,"disability_renal","continue",0.688098013553044,1.10626527955977
"b_disability_neurological_continue",-2.28818979488732,"disability_neurological","continue",4.57637958977464,7.35751266031432
"b_disability_gastrointestinal_continue",-0.787339154664292,"disability_gastrointestinal","continue",0.787339154664292,1.2658167192571
"b_family_values_continue",-5.06444282347925,"family_values","continue",5.06444282347925,8.14217908725126
"b_expected_los_timelimited",0.207780051515777,"expected_los","timelimited",0.207780051515777,0.334051039604294
"b_clinical_situation_timelimited",1.41096155334464,"clinical_situation","timelimited",1.41096155334464,2.26842360610676
"b_age_timelimited",-1.17524548611707,"age","timelimited",3.5257364583512,5.66837827159529
"b_frailty_timelimited",-1.24705699084848,"frailty","timelimited",2.49411398169697,4.00982366882422
"b_life_expectancy_timelimited",0.25186061505136,"life_expectancy","timelimited",0.50372123010272,0.809840017648616
"b_suffering_timelimited",-1.62543703418115,"suffering","timelimited",1.62543703418115,2.61323898573729
"b_disability_cardiovascular_timelimited",-0.220258964686078,"disability_cardiovascular","timelimited",0.660776894058235,1.06234071459882
"b_disability_pulmonary_timelimited",-0.831647230847609,"disability_pulmonary","timelimited",1.66329446169522,2.67410292780278
"b_disability_renal_timelimited",-0.416766598093343,"disability_renal","timelimited",0.833533196186687,1.34008355806818
"b_disability_neurological_timelimited",-1.18191691736232,"disability_neurological","timelimited",2.36383383472464,3.80037036366609
"b_disability_gastrointestinal_timelimited",-0.763305170357093,"disability_gastrointestinal","timelimited",0.763305170357093,1.22717692980146
"b_family_values_timelimited",-3.78493711396293,"family_values","timelimited",3.78493711396293,6.08509897140048
