"coefficient_name","coef","variable","alternative","max_util_contrib","importance_pct"
"b_expected_los_continue",0.303390917943255,"expected_los","continue",0.303390917943255,0.908948270878503
"b_clinical_situation_continue",1.49313227465738,"clinical_situation","continue",1.49313227465738,4.47337055586007
"b_age_continue",-2.10451575823328,"age","continue",6.31354727469984,18.9151604054326
"b_frailty_continue",-1.24222621381489,"frailty","continue",2.48445242762979,7.44333005576775
"b_life_expectancy_continue",0.563590071581769,"life_expectancy","continue",1.12718014316354,3.37699114081163
"b_suffering_continue",-1.13080993535413,"suffering","continue",1.13080993535413,3.38786586757554
"b_disability_cardiovascular_continue",-0.949883942605064,"disability_cardiovascular","continue",2.84965182781519,8.53745431490749
"b_disability_pulmonary_continue",-1.13557050805708,"disability_pulmonary","continue",2.27114101611416,6.80425674411361
"b_disability_renal_continue",-0.0183670437335523,"disability_renal","continue",0.0367340874671047,0.110054003962536
"b_disability_neurological_continue",-0.729521803164969,"disability_neurological","continue",1.45904360632994,4.37124213242922
"b_disability_gastrointestinal_continue",-0.557382704962622,"disability_gastrointestinal","continue",0.557382704962622,1.66989852342289
"b_family_values_continue",-3.52152707703349,"family_values","continue",3.52152707703349,10.550368380243
"b_expected_los_timelimited",0.0323652602427625,"expected_los","timelimited",0.0323652602427625,0.09696515483596
"b_clinical_situation_timelimited",0.490828633653547,"clinical_situation","timelimited",0.490828633653547,1.47050492111466
"b_age_timelimited",-1.03631104844419,"age","timelimited",3.10893314533256,9.31425181044948
"b_frailty_timelimited",-0.32632685112124,"frailty","timelimited",0.65265370224248,1.95532700239468
"b_life_expectancy_timelimited",0.350622681726345,"life_expectancy","timelimited",0.701245363452691,2.10090587052809
"b_suffering_timelimited",-0.102336649798382,"suffering","timelimited",0.102336649798382,0.306596919618852
"b_disability_cardiovascular_timelimited",-0.24998855205394,"disability_cardiovascular","timelimited",0.74996565616182,2.24687011400271
"b_disability_pulmonary_timelimited",-0.297989756541467,"disability_pulmonary","timelimited",0.595979513082935,1.78553317142165
"b_disability_renal_timelimited",-0.282900504099235,"disability_renal","timelimited",0.56580100819847,1.69511945693609
"b_disability_neurological_timelimited",-0.228552339787419,"disability_neurological","timelimited",0.457104679574838,1.36946916844667
"b_disability_gastrointestinal_timelimited",-0.303230132393241,"disability_gastrointestinal","timelimited",0.303230132393241,0.908466563157461
"b_family_values_timelimited",-2.0698010498893,"family_values","timelimited",2.0698010498893,6.20104945168882
