"coefficient_name","coef","variable","alternative","max_util_contrib","importance_pct"
"b_expected_los_continue",-0.101487105723802,"expected_los","continue",0.101487105723802,0.37589586633709
"b_clinical_situation_continue",0.824467265594568,"clinical_situation","continue",0.824467265594568,3.05372623307118
"b_age_continue",-1.76185124625004,"age","continue",5.28555373875012,19.5770466359132
"b_frailty_continue",-0.698755358374397,"frailty","continue",1.39751071674879,5.17620931093764
"b_life_expectancy_continue",0.63813279723495,"life_expectancy","continue",1.2762655944699,4.72713216016929
"b_suffering_continue",-0.716253318894746,"suffering","continue",0.716253318894746,2.65291496789244
"b_disability_cardiovascular_continue",-0.771409244891989,"disability_cardiovascular","continue",2.31422773467597,8.57161737959904
"b_disability_pulmonary_continue",-1.0666254389306,"disability_pulmonary","continue",2.1332508778612,7.90130116657695
"b_disability_renal_continue",-0.312035709425928,"disability_renal","continue",0.624071418851856,2.31148444891081
"b_disability_neurological_continue",-0.369627283347071,"disability_neurological","continue",0.739254566694142,2.73810878543926
"b_disability_gastrointestinal_continue",-0.773189820621984,"disability_gastrointestinal","continue",0.773189820621984,2.86380082861656
"b_family_values_continue",-2.87570729176609,"family_values","continue",2.87570729176609,10.651269203717
"b_expected_los_timelimited",-0.222390995862518,"expected_los","timelimited",0.222390995862518,0.823709134861096
"b_clinical_situation_timelimited",0.022774664316904,"clinical_situation","timelimited",0.022774664316904,0.0843545799526261
"b_age_timelimited",-0.955813747397162,"age","timelimited",2.86744124219149,10.6206527638858
"b_frailty_timelimited",-0.0905740039565982,"frailty","timelimited",0.181148007913196,0.670950135823996
"b_life_expectancy_timelimited",0.408947856072155,"life_expectancy","timelimited",0.81789571214431,3.02938600029237
"b_suffering_timelimited",-0.0598840790435361,"suffering","timelimited",0.0598840790435361,0.221803327736338
"b_disability_cardiovascular_timelimited",-0.263242246152764,"disability_cardiovascular","timelimited",0.789726738458293,2.9250515561084
"b_disability_pulmonary_timelimited",-0.291342810769901,"disability_pulmonary","timelimited",0.582685621539803,2.15819650140541
"b_disability_renal_timelimited",-0.22261918252248,"disability_renal","timelimited",0.44523836504496,1.64910862085835
"b_disability_neurological_timelimited",-0.0460614789679471,"disability_neurological","timelimited",0.0921229579358943,0.341212204603514
"b_disability_gastrointestinal_timelimited",-0.349231754345816,"disability_gastrointestinal","timelimited",0.349231754345816,1.29351183991302
"b_family_values_timelimited",-1.5069492640331,"family_values","timelimited",1.5069492640331,5.58155634737853
