"coefficient_name","coef","variable","alternative","max_util_contrib","importance_pct"
"b_expected_los_continue",-0.316171296119141,"expected_los","continue",0.316171296119141,0.962728773149722
"b_clinical_situation_continue",1.06343917876679,"clinical_situation","continue",1.06343917876679,3.23812916751211
"b_age_continue",-1.73243381329682,"age","continue",5.19730143989046,15.8255720880796
"b_frailty_continue",-1.03668320489328,"frailty","continue",2.07336640978655,6.31331662451572
"b_life_expectancy_continue",0.41845752891848,"life_expectancy","continue",0.83691505783696,2.54837240683066
"b_suffering_continue",-1.18641315721211,"suffering","continue",1.18641315721211,3.6125799441993
"b_disability_cardiovascular_continue",-0.795071593908751,"disability_cardiovascular","continue",2.38521478172625,7.26288226887173
"b_disability_pulmonary_continue",-1.49081456666749,"disability_pulmonary","continue",2.98162913333497,9.07893977966101
"b_disability_renal_continue",-0.597465309039366,"disability_renal","continue",1.19493061807873,3.63851526708004
"b_disability_neurological_continue",-0.753617394721385,"disability_neurological","continue",1.50723478944277,4.58946880219647
"b_disability_gastrointestinal_continue",-0.945308159829886,"disability_gastrointestinal","continue",0.945308159829886,2.87842500610337
"b_family_values_continue",-3.20687478477792,"family_values","continue",3.20687478477792,9.76480365260812
"b_expected_los_timelimited",-0.184582112449977,"expected_los","timelimited",0.184582112449977,0.562045045978455
"b_clinical_situation_timelimited",0.132848946318511,"clinical_situation","timelimited",0.132848946318511,0.404519653344047
"b_age_timelimited",-0.922486619664223,"age","timelimited",2.76745985899267,8.42680302574064
"b_frailty_timelimited",-0.332014482637907,"frailty","timelimited",0.664028965275813,2.02194126703699
"b_life_expectancy_timelimited",0.354939057426155,"life_expectancy","timelimited",0.70987811485231,2.16155006791026
"b_suffering_timelimited",-0.659104475820322,"suffering","timelimited",0.659104475820322,2.00694639637647
"b_disability_cardiovascular_timelimited",-0.190192218279554,"disability_cardiovascular","timelimited",0.570576654838661,1.73738277207082
"b_disability_pulmonary_timelimited",-0.479200722660189,"disability_pulmonary","timelimited",0.958401445320378,2.91829352937377
"b_disability_renal_timelimited",-0.173292218762901,"disability_renal","timelimited",0.346584437525802,1.05533555521204
"b_disability_neurological_timelimited",-0.301061175231776,"disability_neurological","timelimited",0.602122350463551,1.83343813579258
"b_disability_gastrointestinal_timelimited",-0.473926603292737,"disability_gastrointestinal","timelimited",0.473926603292737,1.44308728512503
"b_family_values_timelimited",-1.87684716188097,"family_values","timelimited",1.87684716188097,5.71492348523102
