"coefficient_name","coef","variable","alternative","max_util_contrib","importance_pct"
"b_expected_los_continue",-0.0589028671938725,"expected_los","continue",0.0589028671938725,0.182366924411253
"b_clinical_situation_continue",1.24993843321628,"clinical_situation","continue",1.24993843321628,3.86988679207771
"b_age_continue",-1.85380043653553,"age","continue",5.56140130960658,17.2184428461095
"b_frailty_continue",-1.08465581760767,"frailty","continue",2.16931163521533,6.71632315794844
"b_life_expectancy_continue",0.486534245234379,"life_expectancy","continue",0.973068490468759,3.01268030407099
"b_suffering_continue",-1.14193158826185,"suffering","continue",1.14193158826185,3.53549091174011
"b_disability_cardiovascular_continue",-0.849021444057895,"disability_cardiovascular","continue",2.54706433217368,7.88586890018893
"b_disability_pulmonary_continue",-1.3335098832989,"disability_pulmonary","continue",2.6670197665978,8.25725835344491
"b_disability_renal_continue",-0.378759577415483,"disability_renal","continue",0.757519154830966,2.34532621297434
"b_disability_neurological_continue",-0.70040132274575,"disability_neurological","continue",1.4008026454915,4.33697173559672
"b_disability_gastrointestinal_continue",-0.778467216696823,"disability_gastrointestinal","continue",0.778467216696823,2.41018270972651
"b_family_values_continue",-3.27786353074478,"family_values","continue",3.27786353074478,10.1484684739408
"b_expected_los_timelimited",-0.0756582430057587,"expected_los","timelimited",0.0756582430057587,0.234242605506898
"b_clinical_situation_timelimited",0.281564786621096,"clinical_situation","timelimited",0.281564786621096,0.87174201536902
"b_age_timelimited",-0.970774344922923,"age","timelimited",2.91232303476877,9.01673246218613
"b_frailty_timelimited",-0.32035820821307,"frailty","timelimited",0.640716416426139,1.9836977018258
"b_life_expectancy_timelimited",0.341426864807956,"life_expectancy","timelimited",0.682853729615912,2.11415743282802
"b_suffering_timelimited",-0.39080069881959,"suffering","timelimited",0.39080069881959,1.20994316400461
"b_disability_cardiovascular_timelimited",-0.218196605544962,"disability_cardiovascular","timelimited",0.654589816634885,2.02665060798685
"b_disability_pulmonary_timelimited",-0.396244911403719,"disability_pulmonary","timelimited",0.792489822807437,2.45359756659937
"b_disability_renal_timelimited",-0.22400537088723,"disability_renal","timelimited",0.448010741774461,1.38706899974323
"b_disability_neurological_timelimited",-0.258587414594105,"disability_neurological","timelimited",0.51717482918821,1.60120529738458
"b_disability_gastrointestinal_timelimited",-0.382955131926629,"disability_gastrointestinal","timelimited",0.382955131926629,1.18565280306474
"b_family_values_timelimited",-1.93666734254571,"family_values","timelimited",1.93666734254571,5.99604202127054
