"coefficient_name","coef_aumc","se_coef_aumc","coef_olvg","se_coef_olvg","wald","p_value","sign"
"asc_continue",5.04060350931469,0.784587909244266,3.15996878597168,0.407694176886913,4.52394455786708,0.0334236858678609,"*"
"asc_withdraw",0,NA,0,NA,NA,NA,NA
"b_expected_los",-0.271676269099082,0.1820603170922,0,NA,NA,NA,NA
"b_clinical_situation",0,NA,0,NA,NA,NA,NA
"b_age",-1.09958549191409,0.152749265611681,-1.14277824188152,0.178948117492523,0.0337028544109298,0.854340308763869,NA
"b_frailty",-0.367787688937455,0.132460702475855,-0.207108698017697,0.0786404451447291,1.0879716380512,0.296921065619107,NA
"b_life_expectancy",0.425334164904257,0.131322562014976,0.514975339814889,0.154022500398454,0.196139258992205,0.657855339861334,NA
"b_suffering",-0.5714047075705,0.240565941189723,0,NA,NA,NA,NA
"b_disability_cardiovascular",-0.348345037905885,0.107350358249619,-0.292349579651008,0.0859661869560848,0.165773720351495,0.683895479134948,NA
"b_disability_pulmonary",-0.679922243586107,0.160974569242508,-0.319623103904504,0.131836341663978,2.99848872181124,0.0833422255950811,NA
"b_disability_renal",-0.235619622349232,0.136252334191893,0,NA,NA,NA,NA
"b_disability_neurological",-0.334985291808434,0.180769634210958,0,NA,NA,NA,NA
"b_disability_gastrointestinal",-0.449264142894245,0.172417452057413,0,NA,NA,NA,NA
"b_family_values",-2.08227782992837,0.340585310615858,-1.92268865417477,0.307878880496522,0.120826300137564,0.728140022704527,NA
