"coefficient_name","coef_intensivists","se_coef_intensivists","coef_fellows","se_coef_fellows","wald","p_value","sign"
"asc_continue",4.47153166380058,1.07396110282927,9.33210945404742,1.75450503206257,5.58293974420974,0.0181362546151151,"*"
"asc_withdraw",0,NA,0,NA,NA,NA,NA
"b_expected_los",-0.200525415967312,0.175898716573131,0.169013800335871,0.183411331439245,2.11457221754635,0.1459028181142,NA
"b_clinical_situation",0.322326607074779,0.299976099035941,1.63174758304927,0.678866959257755,3.11263631992562,0.0776871195281522,NA
"b_age",-1.18567895401954,0.146582691300913,-1.35312386187094,0.237098346806199,0.360837004852781,0.54804175154837,NA
"b_frailty",-0.261934928572849,0.173788977585733,-1.42024165286488,0.328344131956228,9.72139975820443,0.00182134748050189,"*"
"b_life_expectancy",0.449650163458813,0.142654299689448,0.215088093881441,0.200439931919102,0.90901408921716,0.340376145239607,NA
"b_suffering",-0.298663678165991,0.35198754604072,-1.79553291916025,0.555663944106332,5.17873084563744,0.0228650194486709,"*"
"b_disability_cardiovascular",-0.419897772097033,0.0920093647272613,-0.390132913610624,0.161622860575825,0.0256145251435704,0.872845323201805,NA
"b_disability_pulmonary",-0.503750519467254,0.16829851690294,-1.06836248750354,0.214911176350297,4.27837231377026,0.0386002959279482,"*"
"b_disability_renal",-0.324147816647799,0.183575992524935,-0.546350550974121,0.247810992135546,0.519123440616792,0.471215836942354,NA
"b_disability_neurological",-0.22629827082515,0.253536450693189,-1.37939275966193,0.542419508867655,3.70886521101317,0.0541241766496532,NA
"b_disability_gastrointestinal",-0.483286717323055,0.215709506996886,-0.828000257471994,0.493510867064716,0.40963169978881,0.522156499191817,NA
"b_family_values",-2.01359426637766,0.32993683024982,-4.12771068668099,0.849793486331522,5.37839840734618,0.0203875859489782,"*"
