"coefficient_name","weight","robust_se","wald","p_value"
"asc_continue",7.28199150090487,1.33921346409477,29.5665547721019,5.40292101058881e-08
"b_expected_los_continue",-0.0589028671938725,0.258445840145933,0.0519438072105496,0.819714777274034
"b_clinical_situation_continue",1.24993843321628,0.3373281643657,13.7300474435786,0.00021105083952544
"b_age_continue",-1.85380043653553,0.216647210070187,73.2183198492855,0
"b_frailty_continue",-1.08465581760767,0.267734111560744,16.4125659800168,5.09463674959187e-05
"b_life_expectancy_continue",0.486534245234379,0.155805792282234,9.75123515454102,0.00179202268290379
"b_suffering_continue",-1.14193158826185,0.427308898315631,7.14161279534844,0.00753153934574791
"b_disability_cardiovascular_continue",-0.849021444057895,0.137502413190929,38.1255992622437,6.63341048756649e-10
"b_disability_pulmonary_continue",-1.3335098832989,0.257691361186445,26.778901542697,2.28114336309204e-07
"b_disability_renal_continue",-0.378759577415483,0.241729641709371,2.45509007149143,0.117144448977257
"b_disability_neurological_continue",-0.70040132274575,0.288940381991874,5.87594104833483,0.015349166492244
"b_disability_gastrointestinal_continue",-0.778467216696823,0.263961899397607,8.69757468122336,0.0031863372441574
"b_family_values_continue",-3.27786353074478,0.455600820292971,51.7622018588912,6.26498852795976e-13
"asc_timelimited",3.54707216289788,0.984646961493671,12.977139043066,0.000315317413567051
"b_expected_los_timelimited",-0.0756582430057587,0.143110741008312,0.279491138141219,0.597034936882013
"b_clinical_situation_timelimited",0.281564786621096,0.295949153866005,0.905153997958022,0.341403483680471
"b_age_timelimited",-0.970774344922923,0.127529932493708,57.9445135734858,2.69784194983913e-14
"b_frailty_timelimited",-0.32035820821307,0.168836882153504,3.60028652245395,0.0577696136844544
"b_life_expectancy_timelimited",0.341426864807956,0.118854525982908,8.25208953848225,0.00407051180239515
"b_suffering_timelimited",-0.39080069881959,0.335060253740373,1.36039440524464,0.24346913942331
"b_disability_cardiovascular_timelimited",-0.218196605544962,0.0782858995794719,7.76835184212676,0.00531695406526778
"b_disability_pulmonary_timelimited",-0.396244911403719,0.151189988871476,6.86880719295206,0.00877131775437212
"b_disability_renal_timelimited",-0.22400537088723,0.15049695522778,2.21544736023192,0.136635449744075
"b_disability_neurological_timelimited",-0.258587414594105,0.23793903081833,1.18109108521235,0.277133984203297
"b_disability_gastrointestinal_timelimited",-0.382955131926629,0.200073052919613,3.66368890620914,0.055610379780384
"b_family_values_timelimited",-1.93666734254571,0.345665235058541,31.3905302929899,2.11007549211217e-08
"asc_withdraw",0,NA,NA,NA
