"coefficient_name","weight","robust_se","wald","p_value"
"asc_continue",7.84094383849178,1.38574029187141,32.0164368389244,1.52873598224801e-08
"b_expected_los_continue",-0.316171296119141,0.357587860240952,0.781770622077203,0.37660016709402
"b_clinical_situation_continue",1.06343917876679,0.381276012914829,7.77940435537185,0.00528452183697892
"b_age_continue",-1.73243381329682,0.232066670725381,55.7298353004427,8.31557045444242e-14
"b_frailty_continue",-1.03668320489328,0.292478513148037,12.5633133751126,0.000393393631639927
"b_life_expectancy_continue",0.41845752891848,0.204918466071605,4.17004344549044,0.0411447445924322
"b_suffering_continue",-1.18641315721211,0.447731083043475,7.02162153559292,0.00805312693755333
"b_disability_cardiovascular_continue",-0.795071593908751,0.168579312877229,22.2435405572305,2.40165364162603e-06
"b_disability_pulmonary_continue",-1.49081456666749,0.315616349919168,22.3114743344955,2.31817293216974e-06
"b_disability_renal_continue",-0.597465309039366,0.254844914518612,5.49633815389483,0.0190563384137931
"b_disability_neurological_continue",-0.753617394721385,0.327044816169856,5.30991157354694,0.0212044325564223
"b_disability_gastrointestinal_continue",-0.945308159829886,0.344577845182104,7.52613686435322,0.00608101669525374
"b_family_values_continue",-3.20687478477792,0.546003092432672,34.4964020473779,4.27039958950104e-09
"asc_timelimited",3.78089601019865,1.13232583452749,11.1492751458356,0.000840645142607843
"b_expected_los_timelimited",-0.184582112449977,0.189508429001672,0.948685278076354,0.330054174368492
"b_clinical_situation_timelimited",0.132848946318511,0.376819960974978,0.124293502948889,0.724423700415136
"b_age_timelimited",-0.922486619664223,0.167561614935452,30.308962922292,3.68419538210318e-08
"b_frailty_timelimited",-0.332014482637907,0.221796916063619,2.24079976336468,0.134411443751355
"b_life_expectancy_timelimited",0.354939057426155,0.156603474057648,5.1369436185197,0.023421848046872
"b_suffering_timelimited",-0.659104475820322,0.409524631248063,2.59029045854326,0.10752061652059
"b_disability_cardiovascular_timelimited",-0.190192218279554,0.130194151448933,2.13403990813362,0.144060633186629
"b_disability_pulmonary_timelimited",-0.479200722660189,0.196743841833324,5.93243014918016,0.0148647290722205
"b_disability_renal_timelimited",-0.173292218762901,0.147154285442191,1.38679509269449,0.238947078191941
"b_disability_neurological_timelimited",-0.301061175231776,0.27659867478125,1.18470252806817,0.276400729443378
"b_disability_gastrointestinal_timelimited",-0.473926603292737,0.26415435513555,3.21889362887777,0.0727928142859888
"b_family_values_timelimited",-1.87684716188097,0.408872061959554,21.0708930662934,4.4260038329913e-06
"asc_withdraw",0,NA,NA,NA
