"asc_continue","b_expected_los_continue","b_clinical_situation_continue","b_age_continue","b_frailty_continue","b_life_expectancy_continue","b_suffering_continue","b_disability_cardiovascular_continue","b_disability_pulmonary_continue","b_disability_renal_continue","b_disability_neurological_continue","b_disability_gastrointestinal_continue","b_family_values_continue","asc_timelimited","b_expected_los_timelimited","b_clinical_situation_timelimited","b_age_timelimited","b_frailty_timelimited","b_life_expectancy_timelimited","b_suffering_timelimited","b_disability_cardiovascular_timelimited","b_disability_pulmonary_timelimited","b_disability_renal_timelimited","b_disability_neurological_timelimited","b_disability_gastrointestinal_timelimited","b_family_values_timelimited","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-988.751059801321
-0.0561649851494191,-0.0230738518297198,-0.0995526676926364,-0.0864875382739512,-0.0349390423973291,0.0389112574656201,-0.0266614512872835,-0.042589113422446,-0.0798190755729092,-0.0766788619052292,-0.0603395873104357,-0.013103398979741,-0.269972317052204,-0.00858964690114743,-0.0158521576369436,-0.0479881330932035,-0.0172074194159604,-0.00219902020081762,-0.00574367847619753,0.00458981121343853,0.00435650043283335,0.00384959370857813,-0.00345177490684976,0.00382814657528862,-0.0114554506847688,-0.0611188125853272,-908.869406237597
-0.0321013554568848,0.0328758774606716,-0.131970999318932,-0.273817569910184,-0.0414979614263474,0.217595628173996,0.0670636449960071,-0.0829513245052187,-0.187376828999917,-0.136094823127424,-0.105414102464935,0.102411079507487,-0.865642212048324,-0.0183683807725192,-0.0194411006201309,-0.179024081712095,-0.0807782056545219,0.00345236852975188,0.0244014719291467,0.0459064254419805,0.0144562943130998,0.00850747483234958,-0.0100361513034518,0.0160516018647991,-0.00916746174703958,-0.264312264932944,-839.851983746749
0.393852138954429,0.14577513048705,-0.218377355422552,-0.787409477970913,-0.0877261681716741,0.848240960841578,0.333778506581398,-0.185874548338494,-0.261438525429452,-0.101911299604572,-0.103102972479723,0.293720872185267,-1.60612374815411,0.0701115712635464,0.0188778165682999,-0.382276055311961,-0.415521291615662,0.084391776669836,0.408242086359941,0.27606271586528,0.0321965056328319,0.00607811434628374,0.0737298491774033,0.106635006713318,0.124431603336137,-0.885052397976364,-751.223597686227
1.70465769432611,-0.0021019907142675,0.400330391232555,-1.17059914583255,-0.180920467357184,0.975842364695182,0.0880262109183304,-0.290383843100685,-0.599140575473286,-0.0633212634635224,-0.0616840906821582,0.0729717318196142,-2.63740664506353,0.249418623821334,-0.00868363604200072,-0.431202345241044,-0.641227446309649,0.0771138742487062,0.593114553434344,0.407188939138509,-0.0197960445524176,0.0290860174869273,0.157286902740732,0.175530528841229,0.135508652882761,-1.06599305567762,-731.220286334038
3.26564990318994,-0.00565659460985624,0.327094402163616,-1.45998651795531,-0.504605187087011,0.960102546964104,-0.230681696562586,-0.500932360817288,-0.663617787276849,-0.114021599212728,-0.26236935430335,-0.199268345941781,-2.49381659889263,0.606027296492193,-0.0210233725556714,-0.390958390518048,-0.735923229303011,0.0520301946768337,0.604921695278071,0.325264671935831,-0.0261849847434402,-0.0391356880487305,0.122936240986353,0.159870042403389,0.0678137726559515,-1.17650632325901,-723.909824603653
4.60974023228086,0.0145699127167346,0.672901568155248,-1.55656414742982,-0.661938016461154,0.696852601262103,-0.490225578906378,-0.667185607675159,-0.960780286245447,-0.134504570921331,-0.399241385906023,-0.343208063790417,-2.71792382075447,1.40459896688696,-0.00402225278557047,-0.22344586225662,-0.781787640324157,-0.0184262349918267,0.519312041014585,0.142019835913119,-0.0943724701575853,-0.142678147356999,0.0145628734694524,0.0344601556604938,-0.0419153046934442,-1.35155421734173,-719.494735952646
5.73734841348171,-0.0632072119873,0.935736475776333,-1.68102907086292,-0.841325073834759,0.648271361102175,-0.826131513753873,-0.733866377849967,-1.10945322380654,-0.256891239185448,-0.526393734059919,-0.51706017488941,-2.97264695404629,2.41475600731228,-0.0415098607330529,0.0449584651074914,-0.864780764208561,-0.168199392597585,0.422455872984485,-0.117804913783435,-0.153214167489503,-0.259565302499316,-0.0971263659326885,-0.10951503702721,-0.212504847438675,-1.61096068440369,-716.738624928029
6.99850151875266,-0.0261712412066257,1.21736146297285,-1.82725831283852,-1.05949900114066,0.50408069023373,-1.10164128619069,-0.823580336024396,-1.31753877725352,-0.3413322501709,-0.643875870831632,-0.770744969282985,-3.22512005518054,3.31539262648325,-0.070284572889292,0.239860403262637,-0.943411277466843,-0.298685444951134,0.351430261478851,-0.357540412363048,-0.194622070271587,-0.373891353167103,-0.197325362193367,-0.228858302833155,-0.356767599216732,-1.86906755530452,-715.710107677824
7.31779266421441,-0.0834052591848417,1.24078830432922,-1.86096634651206,-1.0871028304874,0.498093146722961,-1.15987917080579,-0.85454999289468,-1.3329915867384,-0.377054987676927,-0.712347851596939,-0.760258234780595,-3.29554414011481,3.61216493382733,-0.0759675154324566,0.291394418758408,-0.974885613977468,-0.326856717834321,0.33269289844612,-0.399722867743009,-0.226966345255838,-0.403092576886244,-0.23016945477308,-0.267079805394582,-0.396066557406776,-1.94404800004916,-715.645161175135
7.30976609021309,-0.0534151390230644,1.25102674895728,-1.86026128481363,-1.09122739620577,0.483494100295821,-1.14505803066459,-0.856571323916492,-1.34082886449034,-0.373220503526581,-0.698494485578787,-0.784727301334928,-3.27773532872316,3.55101075209883,-0.0758850469977333,0.280965162476016,-0.970483283504062,-0.319665613145341,0.340251024074419,-0.390374484890418,-0.219882340937627,-0.396612148947388,-0.224280218745199,-0.258798121252259,-0.383521639734897,-1.93602131554242,-715.630295765025
7.26837396234441,-0.0586368956179561,1.24747933573858,-1.85427731731503,-1.08427393296812,0.490358741729407,-1.14150122715347,-0.848555238579776,-1.33297504628234,-0.375732519660285,-0.697502714201998,-0.775659823355311,-3.2771639471221,3.53791440170485,-0.0758835068468794,0.281170220796467,-0.969743692063118,-0.319635167188028,0.34243519637555,-0.390346376028618,-0.21691000852009,-0.395225705637177,-0.223271518223417,-0.25773632900396,-0.381409637297882,-1.93560679957681,-715.628802865507
7.2778717991177,-0.05881285994914,1.24897228901421,-1.85427153512018,-1.08468378598395,0.487949092530325,-1.14203460348334,-0.848993124858792,-1.33386347488422,-0.377377702079521,-0.699072134229206,-0.77741028033044,-3.27770160501771,3.543791275171,-0.0757394153963922,0.281274359590581,-0.97041194581242,-0.320074067397771,0.341723294115059,-0.390441252352895,-0.21781435654296,-0.395851298156432,-0.223613279909769,-0.258219811046303,-0.382509973316048,-1.93603259626626,-715.628390438541
7.28707223521855,-0.0578387749324108,1.24998519768713,-1.8546501767027,-1.08565983003875,0.485583133716483,-1.14238425033331,-0.850275977192282,-1.33444848031476,-0.377968278904295,-0.700269897948376,-0.779656120982939,-3.27715462763751,3.54714597996367,-0.0756013492435159,0.281245930418221,-0.970847578337051,-0.320128339464112,0.341409531166159,-0.390502986671965,-0.218437197076274,-0.396240458802164,-0.22393640254243,-0.258504363504271,-0.38293634057303,-1.93648733342601,-715.628356338879
7.28212750451647,-0.0591288218412524,1.24980377013505,-1.8538449765398,-1.08460897533067,0.486668082775971,-1.14199832873555,-0.84903584088512,-1.33345591671161,-0.378744821382087,-0.700462014234324,-0.778253445625176,-3.2779758031688,3.54770032057636,-0.0756664183485132,0.281616738092694,-0.970865036684095,-0.320395676280795,0.341359714774895,-0.390788797601214,-0.218312484959796,-0.396286157761447,-0.224037372439401,-0.258644356715291,-0.383080682314638,-1.93671875135807,-715.628312674873
7.28205290311585,-0.058889917321832,1.24999837411092,-1.85382260144394,-1.08468484572729,0.48653176260679,-1.1420003292442,-0.849003210234113,-1.33358459542019,-0.378728453277817,-0.700362752712593,-0.778480896540175,-3.2779359309104,3.54705124453312,-0.0756579553687233,0.281572209598728,-0.970774526044006,-0.320369056250703,0.341432337014214,-0.390825641481842,-0.218175076603781,-0.396249325445548,-0.224002527063307,-0.258583757904454,-0.382955211848871,-1.93667473981431,-715.628310578596
7.28198675553171,-0.0588961186965026,1.24989521804943,-1.8538148547019,-1.08467372610969,0.486555172510817,-1.14193895982562,-0.849019840971177,-1.33350021410058,-0.378754560287717,-0.70039196891401,-0.77847606984345,-3.27781605427398,3.54705293503329,-0.0756629050805919,0.28156103987586,-0.970772914471961,-0.32035895974639,0.341428396534413,-0.390803391639684,-0.218189467493261,-0.396244235367687,-0.224003205833824,-0.258582245164134,-0.382954342857991,-1.93666353854493,-715.628310458956
7.28199150090487,-0.0589028671938725,1.24993843321628,-1.85380043653553,-1.08465581760767,0.486534245234379,-1.14193158826185,-0.849021444057895,-1.3335098832989,-0.378759577415483,-0.70040132274575,-0.778467216696823,-3.27786353074478,3.54707216289788,-0.0756582430057587,0.281564786621096,-0.970774344922923,-0.32035820821307,0.341426864807956,-0.39080069881959,-0.218196605544962,-0.396244911403719,-0.22400537088723,-0.258587414594105,-0.382955131926629,-1.93666734254571,-715.628310417591
