"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",5.74376225537563,1.31644476106254,4.36308641673629,1.44762618178166,3.96771095166745
"b_expected_los_continue",-0.101487105723802,0.31810532113847,-0.319036177579767,0.305866944202021,-0.331801483120618
"b_clinical_situation_continue",0.824467265594568,0.435802652590062,1.89183627197906,0.374740391888351,2.20010248011964
"b_age_continue",-1.76185124625004,0.198633577004209,-8.86985610802705,0.235760993249447,-7.47303963207314
"b_frailty_continue",-0.698755358374397,0.271563504264331,-2.57308271325831,0.273584691538764,-2.5540733088693
"b_life_expectancy_continue",0.63813279723495,0.259212618966992,2.46181223652622,0.204691781100187,3.11753014119612
"b_suffering_continue",-0.716253318894746,0.384604188298104,-1.86231284184452,0.461517786622816,-1.55195171162518
"b_disability_cardiovascular_continue",-0.771409244891989,0.190766999962122,-4.04372477967971,0.148722605357779,-5.18689975230213
"b_disability_pulmonary_continue",-1.0666254389306,0.292191946825011,-3.65042722949987,0.292234886237912,-3.64989085547523
"b_disability_renal_continue",-0.312035709425928,0.242164550937649,-1.28852760743776,0.300288761965837,-1.03911883809168
"b_disability_neurological_continue",-0.369627283347071,0.261856206751309,-1.41156586636923,0.321700409946282,-1.14897983315841
"b_disability_gastrointestinal_continue",-0.773189820621984,0.375079306474624,-2.06140356792596,0.318231482822285,-2.42964590984157
"b_family_values_continue",-2.87570729176609,0.42759193485855,-6.72535437956142,0.520407235787522,-5.52587876187836
"asc_timelimited",2.69906971027495,1.04532351669907,2.58204246547335,1.09944997232146,2.45492726201625
"b_expected_los_timelimited",-0.222390995862518,0.215142618144917,-1.03369103611409,0.188764981021572,-1.17813693333883
"b_clinical_situation_timelimited",0.022774664316904,0.350190497948681,0.0650350721973089,0.32387173275662,0.0703200125650314
"b_age_timelimited",-0.955813747397162,0.136107534744226,-7.02248960127982,0.151708261462736,-6.30034078685912
"b_frailty_timelimited",-0.0905740039565982,0.188392140808135,-0.480773792197849,0.180842258939719,-0.500845347141951
"b_life_expectancy_timelimited",0.408947856072155,0.170055581406109,2.40478937939442,0.156768011693779,2.60861799326108
"b_suffering_timelimited",-0.0598840790435361,0.326729260633056,-0.183283489600862,0.373078098236151,-0.160513520698904
"b_disability_cardiovascular_timelimited",-0.263242246152764,0.125970889254494,-2.08970697683133,0.0926094305833624,-2.84249934908958
"b_disability_pulmonary_timelimited",-0.291342810769901,0.182195501774129,-1.59906697988123,0.184335009908619,-1.58050720215508
"b_disability_renal_timelimited",-0.22261918252248,0.178827318388116,-1.24488352523031,0.181008797955233,-1.22988045353209
"b_disability_neurological_timelimited",-0.0460614789679471,0.20415062585511,-0.225624970655921,0.263175875099905,-0.175021661656721
"b_disability_gastrointestinal_timelimited",-0.349231754345816,0.261077086567022,-1.33765762035254,0.220566321598919,-1.5833412454548
"b_family_values_timelimited",-1.5069492640331,0.345074987731433,-4.3670196844459,0.347452342107312,-4.3371394617558
"asc_withdraw",0,NA,NA,NA,NA
