"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",7.84094383849178,1.58532596603281,4.9459505530672,1.38574029187141,5.65830688801203
"b_expected_los_continue",-0.316171296119141,0.373069808457125,-0.847485615163299,0.357587860240952,-0.884177935755696
"b_clinical_situation_continue",1.06343917876679,0.529614094971972,2.00795105127077,0.381276012914829,2.78915835967983
"b_age_continue",-1.73243381329682,0.232300862955701,-7.4577157882844,0.232066670725381,-7.46524181125051
"b_frailty_continue",-1.03668320489328,0.307058701009889,-3.37617270405859,0.292478513148037,-3.54447645994618
"b_life_expectancy_continue",0.41845752891848,0.293080433723188,1.42779073854418,0.204918466071605,2.04206842331261
"b_suffering_continue",-1.18641315721211,0.471353686386612,-2.51703379325859,0.447731083043475,-2.64983424681487
"b_disability_cardiovascular_continue",-0.795071593908751,0.211281695505252,-3.76308790975689,0.168579312877229,-4.71630581676279
"b_disability_pulmonary_continue",-1.49081456666749,0.33379274107506,-4.46628815793285,0.315616349919168,-4.7235023377252
"b_disability_renal_continue",-0.597465309039366,0.28525014762223,-2.09453111249786,0.254844914518612,-2.34442704170866
"b_disability_neurological_continue",-0.753617394721385,0.316382674566665,-2.38198060546008,0.327044816169856,-2.30432453737466
"b_disability_gastrointestinal_continue",-0.945308159829886,0.449100151981212,-2.10489387647643,0.344577845182104,-2.74338055405247
"b_family_values_continue",-3.20687478477792,0.510316603827808,-6.2840886632409,0.546003092432672,-5.87336377618294
"asc_timelimited",3.78089601019865,1.27278702108528,2.97056455444898,1.13232583452749,3.33905303130029
"b_expected_los_timelimited",-0.184582112449977,0.248451873299373,-0.74292904295217,0.189508429001672,-0.974004762861227
"b_clinical_situation_timelimited",0.132848946318511,0.40893135954142,0.324868570773072,0.376819960974978,0.352552837102311
"b_age_timelimited",-0.922486619664223,0.162322356462211,-5.68305339923388,0.167561614935452,-5.50535765616477
"b_frailty_timelimited",-0.332014482637907,0.228467688371283,-1.45322292620368,0.221796916063619,-1.49693011305294
"b_life_expectancy_timelimited",0.354939057426155,0.191024700971522,1.85807937727943,0.156603474057648,2.26648265347867
"b_suffering_timelimited",-0.659104475820322,0.389345743486275,-1.69285137142781,0.409524631248063,-1.60943793249173
"b_disability_cardiovascular_timelimited",-0.190192218279554,0.144092882028376,-1.3199279215062,0.130194151448933,-1.46083534600366
"b_disability_pulmonary_timelimited",-0.479200722660189,0.214486647608003,-2.23417507804952,0.196743841833324,-2.43565805259691
"b_disability_renal_timelimited",-0.173292218762901,0.216671784947544,-0.799791347105279,0.147154285442191,-1.17762264443857
"b_disability_neurological_timelimited",-0.301061175231776,0.248743306627431,-1.2103287493991,0.27659867478125,-1.08844041089449
"b_disability_gastrointestinal_timelimited",-0.473926603292737,0.307330931365257,-1.54207258341167,0.26415435513555,-1.79412753974676
"b_family_values_timelimited",-1.87684716188097,0.419296427277031,-4.47618209883036,0.408872061959554,-4.59030424550414
"asc_withdraw",0,NA,NA,NA,NA
