"coefficient_name","coef","variable","sd_x","sd_y","std_coef","importance_pct"
"b_expected_los",-0.0825757368594485,"expected_los",0.499877626849061,0.885245514985533,-0.0466286049213005,0.735066476256753
"b_clinical_situation",0.582181378107006,"clinical_situation",0.499877626849061,0.885245514985533,0.328744332230366,5.18241835220694
"b_age",-1.1908378592099,"age",1.10042968652906,0.885245514985533,-1.48030496617507,23.3359449013798
"b_frailty",-0.495946666509755,"frailty",0.824108376513834,0.885245514985533,-0.461695422632535,7.27829683069368
"b_life_expectancy",0.364140759389582,"life_expectancy",0.765670549540607,0.885245514985533,0.31495427046192,4.96502792998429
"b_suffering",-0.614390257483931,"suffering",0.499877626849061,0.885245514985533,-0.346931939977431,5.4691329292512
"b_disability_cardiovascular",-0.385272756756843,"disability_cardiovascular",1.10042968652906,0.885245514985533,-0.478924289103059,7.54989753990987
"b_disability_pulmonary",-0.618401774725059,"disability_pulmonary",0.816296746409048,0.885245514985533,-0.57023655939098,8.98936991685171
"b_disability_renal",-0.346634021493979,"disability_renal",0.733619791019371,0.885245514985533,-0.28726220478256,4.52848239803981
"b_disability_neurological",-0.450828323901676,"disability_neurological",0.800444815158084,0.885245514985533,-0.407641934677752,6.42618240463762
"b_disability_gastrointestinal",-0.502840649585665,"disability_gastrointestinal",0.499877626849061,0.885245514985533,-0.283942461546648,4.47614902957173
"b_family_values",-2.41314824335231,"family_values",0.490170341098426,0.885245514985533,-1.33618716790042,21.0640312912166
