"coefficient_name","coef","variable","sd_x","sd_y","std_coef","importance_pct"
"b_expected_los",0.169013800335871,"expected_los",0.50060204717775,0.495781400202901,0.170657177568182,0.856390858983117
"b_clinical_situation",1.63174758304927,"clinical_situation",0.50060204717775,0.495781400202901,1.64761360595115,8.26804504433482
"b_age",-1.35312386187094,"age",1.10202442410561,0.495781400202901,-3.00772788977482,15.093362657323
"b_frailty",-1.42024165286488,"frailty",0.825302670534858,0.495781400202901,-2.3642057334836,11.8640435038363
"b_life_expectancy",0.215088093881441,"life_expectancy",0.766780155734951,0.495781400202901,0.332657259944905,1.66933873307127
"b_suffering",-1.79553291916025,"suffering",0.50060204717775,0.495781400202901,-1.81299148120281,9.09794333904318
"b_disability_cardiovascular",-0.390132913610624,"disability_cardiovascular",1.10202442410561,0.495781400202901,-0.86718864255585,4.35172101801635
"b_disability_pulmonary",-1.06836248750354,"disability_pulmonary",0.817479719852106,0.495781400202901,-1.76159223929632,8.8400119613266
"b_disability_renal",-0.546350550974121,"disability_renal",0.73468294940374,0.495781400202901,-0.809619792178071,4.06282934684126
"b_disability_neurological",-1.37939275966193,"disability_neurological",0.801604816056202,0.495781400202901,-2.23027301735308,11.1919431243071
"b_disability_gastrointestinal",-0.828000257471994,"disability_gastrointestinal",0.50060204717775,0.495781400202901,-0.836051178572954,4.19546717679591
"b_family_values",-4.12771068668099,"family_values",0.490880693673816,0.495781400202901,-4.08690903759913,20.5089032361211
