"coefficient_name","coef_intensivists","se_coef_intensivists","coef_fellows","se_coef_fellows","wald","p_value","sign"
"asc_continue",5.74376225537563,1.44762618178166,15.6729879200433,2.62690136972396,10.9589790772622,0.000931511249137706,"*"
"b_expected_los_continue",-0.101487105723802,0.305866944202021,-0.227828024997278,0.546777861077929,0.0406654509210212,0.84018506456684,NA
"b_clinical_situation_continue",0.824467265594568,0.374740391888351,2.9205563274927,0.652247193548836,7.76449031664809,0.00532833300199531,"*"
"b_age_continue",-1.76185124625004,0.235760993249447,-2.78670858305025,0.398088317854839,4.90677641355689,0.026751522346425,"*"
"b_frailty_continue",-0.698755358374397,0.273584691538764,-3.08035529144767,0.445277396709013,20.7674537011006,5.18567924367996e-06,"*"
"b_life_expectancy_continue",0.63813279723495,0.204691781100187,0.0493442180830082,0.350186838518199,2.10705005274279,0.146621724064821,NA
"b_suffering_continue",-0.716253318894746,0.461517786622816,-3.2609325389598,1.04143543942705,4.99033599929557,0.0254892589590372,"*"
"b_disability_cardiovascular_continue",-0.771409244891989,0.148722605357779,-1.60227644362431,0.392646938418001,3.91593498333117,0.047830402657618,"*"
"b_disability_pulmonary_continue",-1.0666254389306,0.292234886237912,-2.70536485793878,0.383815331753475,11.5397023542365,0.000681255460395103,"*"
"b_disability_renal_continue",-0.312035709425928,0.300288761965837,-0.344049006776522,0.239994655829018,0.00693541198898393,0.9336296016712,NA
"b_disability_neurological_continue",-0.369627283347071,0.321700409946282,-2.28818979488732,0.63489908646703,7.26602699510141,0.00702710750799829,"*"
"b_disability_gastrointestinal_continue",-0.773189820621984,0.318231482822285,-0.787339154664292,0.413792116350246,0.000734705270265471,0.978375630086332,NA
"b_family_values_continue",-2.87570729176609,0.520407235787522,-5.06444282347925,0.890385890508205,4.50405690243574,0.0338145383564593,"*"
"asc_timelimited",2.69906971027495,1.09944997232146,7.66310690949953,2.05768869220347,4.52732689793341,0.0333576836834535,"*"
"b_expected_los_timelimited",-0.222390995862518,0.188764981021572,0.207780051515777,0.170981737320924,2.85271722584123,0.0912196440664127,NA
"b_clinical_situation_timelimited",0.022774664316904,0.32387173275662,1.41096155334464,0.8033307767772,2.5686183254676,0.109002899507002,NA
"b_age_timelimited",-0.955813747397162,0.151708261462736,-1.17524548611707,0.254081425200628,0.549831751145462,0.458386448666614,NA
"b_frailty_timelimited",-0.0905740039565982,0.180842258939719,-1.24705699084848,0.407644074105653,6.72500475847682,0.00950704771349931,"*"
"b_life_expectancy_timelimited",0.408947856072155,0.156768011693779,0.25186061505136,0.205228203278601,0.369989745445955,0.543009857801503,NA
"b_suffering_timelimited",-0.0598840790435361,0.373078098236151,-1.62543703418115,0.635927153798037,4.5088270470204,0.0337203573256529,"*"
"b_disability_cardiovascular_timelimited",-0.263242246152764,0.0926094305833624,-0.220258964686078,0.171838005547171,0.0484863365440031,0.825718408930582,NA
"b_disability_pulmonary_timelimited",-0.291342810769901,0.184335009908619,-0.831647230847609,0.26229364732622,2.84040070079631,0.0919212886313759,NA
"b_disability_renal_timelimited",-0.22261918252248,0.181008797955233,-0.416766598093343,0.268459263102655,0.359549547929885,0.548756511512187,NA
"b_disability_neurological_timelimited",-0.0460614789679471,0.263175875099905,-1.18191691736232,0.604123773744234,2.97118178599111,0.0847599143094462,NA
"b_disability_gastrointestinal_timelimited",-0.349231754345816,0.220566321598919,-0.763305170357093,0.57545422957186,0.451443168567468,0.501650412216237,NA
"b_family_values_timelimited",-1.5069492640331,0.347452342107312,-3.78493711396293,0.994556228551621,4.67554847432215,0.0305949317674588,"*"
"asc_withdraw",0,NA,0,NA,NA,NA,NA
