"coefficient_name","coef_aumc","se_coef_aumc","coef_olvg","se_coef_olvg","wald","p_value","sign"
"asc_continue",7.84094383849178,1.38574029187141,6.89587600714653,2.63215269169754,0.100938329349106,0.7507064947156,NA
"b_expected_los_continue",-0.316171296119141,0.357587860240952,0.303390917943255,0.366595495909845,1.46364440831236,0.226351146317937,NA
"b_clinical_situation_continue",1.06343917876679,0.381276012914829,1.49313227465738,0.659215388985101,0.31837315241079,0.572586964854237,NA
"b_age_continue",-1.73243381329682,0.232066670725381,-2.10451575823328,0.429700743917309,0.580487743704558,0.446121204461741,NA
"b_frailty_continue",-1.03668320489328,0.292478513148037,-1.24222621381489,0.559035258611242,0.10613348053213,0.744589798841439,NA
"b_life_expectancy_continue",0.41845752891848,0.204918466071605,0.563590071581769,0.263022682530854,0.189466398479026,0.663361100911103,NA
"b_suffering_continue",-1.18641315721211,0.447731083043475,-1.13080993535413,0.786708623310114,0.00377327064694371,0.951019186898727,NA
"b_disability_cardiovascular_continue",-0.795071593908751,0.168579312877229,-0.949883942605064,0.284285180826826,0.219402332626105,0.639495688699591,NA
"b_disability_pulmonary_continue",-1.49081456666749,0.315616349919168,-1.13557050805708,0.475812694020198,0.387097939301541,0.533828806129383,NA
"b_disability_renal_continue",-0.597465309039366,0.254844914518612,-0.0183670437335523,0.43609492611071,1.31447398513912,0.251586210863751,NA
"b_disability_neurological_continue",-0.753617394721385,0.327044816169856,-0.729521803164969,0.489387945768786,0.00167580505879867,0.967346440876126,NA
"b_disability_gastrointestinal_continue",-0.945308159829886,0.344577845182104,-0.557382704962622,0.386765297965425,0.560843159929904,0.453920720000136,NA
"b_family_values_continue",-3.20687478477792,0.546003092432672,-3.52152707703349,0.794864331097687,0.106466298932001,0.744203637848717,NA
"asc_timelimited",3.78089601019865,1.13232583452749,3.34890521202412,1.67534929893347,0.045639033758366,0.830833308660199,NA
"b_expected_los_timelimited",-0.184582112449977,0.189508429001672,0.0323652602427625,0.215338477507747,0.571995803698464,0.449466925355945,NA
"b_clinical_situation_timelimited",0.132848946318511,0.376819960974978,0.490828633653547,0.501998450200732,0.325255955242194,0.568465997575534,NA
"b_age_timelimited",-0.922486619664223,0.167561614935452,-1.03631104844419,0.209914584750957,0.179592681193689,0.671723517768339,NA
"b_frailty_timelimited",-0.332014482637907,0.221796916063619,-0.32632685112124,0.254829140104041,0.000283436893695079,0.986567781868092,NA
"b_life_expectancy_timelimited",0.354939057426155,0.156603474057648,0.350622681726345,0.194336696986491,0.000299095849780851,0.98620176281253,NA
"b_suffering_timelimited",-0.659104475820322,0.409524631248063,-0.102336649798382,0.562749750329266,0.639950207924113,0.423728828171674,NA
"b_disability_cardiovascular_timelimited",-0.190192218279554,0.130194151448933,-0.24998855205394,0.0899511564441992,0.142785736971603,0.705527169461201,NA
"b_disability_pulmonary_timelimited",-0.479200722660189,0.196743841833324,-0.297989756541467,0.247299728933051,0.328817074702,0.566356468935927,NA
"b_disability_renal_timelimited",-0.173292218762901,0.147154285442191,-0.282900504099235,0.278462953095101,0.121113514838808,0.727829916926196,NA
"b_disability_neurological_timelimited",-0.301061175231776,0.27659867478125,-0.228552339787419,0.402177467257602,0.0220669593074177,0.881909109671628,NA
"b_disability_gastrointestinal_timelimited",-0.473926603292737,0.26415435513555,-0.303230132393241,0.301674015128088,0.181219225970391,0.670327544026907,NA
"b_family_values_timelimited",-1.87684716188097,0.408872061959554,-2.0698010498893,0.607889831711399,0.0693697749192781,0.79225660620233,NA
"asc_withdraw",0,NA,0,NA,NA,NA,NA
