"coefficient_name","coef","variable","sd_x","sd_y","std_coef","importance_pct"
"b_expected_los",0,"expected_los",0.500188643658853,0.500277392531741,0,0
"b_clinical_situation",0,"clinical_situation",0.500188643658853,0.500277392531741,0,0
"b_age",-1.14277824188152,"age",1.10111435836096,0.500277392531741,-2.51526363042361,37.5657334296576
"b_frailty",-0.207108698017697,"frailty",0.824621125123532,0.500277392531741,-0.34138302096349,5.09859221427452
"b_life_expectancy",0.514975339814889,"life_expectancy",0.766146938958495,0.500277392531741,0.788656025893186,11.7786627525032
"b_suffering",0,"suffering",0.500188643658853,0.500277392531741,0,0
"b_disability_cardiovascular",-0.292349579651008,"disability_cardiovascular",1.10111435836096,0.500277392531741,-0.643463655604012,9.61019905258294
"b_disability_pulmonary",-0.319623103904504,"disability_pulmonary",0.81680463473266,0.500277392531741,-0.521849750826534,7.79388227649968
"b_disability_renal",0,"disability_renal",0.73407623890731,0.500277392531741,0,0
"b_disability_neurological",0,"disability_neurological",0.800942840633627,0.500277392531741,0,0
"b_disability_gastrointestinal",0,"disability_gastrointestinal",0.500188643658853,0.500277392531741,0,0
"b_family_values",-1.92268865417477,"family_values",0.490475318171923,0.500277392531741,-1.88501687959462,28.152930274482
