"coefficient_name","coef","variable","sd_x","sd_y","std_coef","importance_pct"
"b_expected_los",-0.200525415967312,"expected_los",0.499984591442083,0.500299779754003,-0.200399085175428,2.08987691381081
"b_clinical_situation",0.322326607074779,"clinical_situation",0.499984591442083,0.500299779754003,0.322123541666234,3.35928955231469
"b_age",-1.18567895401954,"age",1.10066515818701,0.500299779754003,-2.60850707175329,27.2030119498663
"b_frailty",-0.261934928572849,"frailty",0.824284720507574,0.500299779754003,-0.431559173374021,4.50054725842747
"b_life_expectancy",0.449650163458813,"life_expectancy",0.76583438891713,0.500299779754003,0.688302438046821,7.17801368072376
"b_suffering",-0.298663678165991,"suffering",0.499984591442083,0.500299779754003,-0.298475520376677,3.11267438584779
"b_disability_cardiovascular",-0.419897772097033,"disability_cardiovascular",1.10066515818701,0.500299779754003,-0.923779834512024,9.63370739891666
"b_disability_pulmonary",-0.503750519467254,"disability_pulmonary",0.816471418858014,0.500299779754003,-0.822102903147641,8.57336188217173
"b_disability_renal",-0.324147816647799,"disability_renal",0.733776772124675,0.500299779754003,-0.475419235059497,4.95794520649971
"b_disability_neurological",-0.22629827082515,"disability_neurological",0.800616095586116,0.500299779754003,-0.362138952199831,3.77659326703784
"b_disability_gastrointestinal",-0.483286717323055,"disability_gastrointestinal",0.499984591442083,0.500299779754003,-0.482982247221787,5.03681664697062
"b_family_values",-2.01359426637766,"family_values",0.490275228511327,0.500299779754003,-1.97324769873538,20.5781618574127
