"coefficient_name","weight","robust_se","wald","p_value"
"asc_continue",4.34846815650281,0.937493545257887,21.5147357210797,3.51120197517041e-06
"asc_withdraw",0,NA,NA,NA
"asc_timelimited",4.86605023553687,0.965141952950706,25.419721508668,4.61179302080339e-07
"b_expected_los",-0.0825762640150321,0.137869810112566,0.358733641159924,0.549210381256256
"b_clinical_situation",0.582184725604176,0.267841836678672,4.72459716550304,0.0297341474557141
"b_age",-1.19083726010322,0.123014573317067,93.7112434375317,0
"b_frailty",-0.495948645591973,0.158629421282158,9.77475627566439,0.00176924172161008
"b_life_expectancy",0.364141464463247,0.110825950368188,10.7958623994666,0.00101727210576419
"b_suffering",-0.614394802400925,0.312857239280061,3.85658269976154,0.0495511557369186
"b_disability_cardiovascular",-0.385270644915564,0.0748418609311561,26.4998053883994,2.63564662872362e-07
"b_disability_pulmonary",-0.618401565591037,0.140400828132145,19.4000041114095,1.06006831647187e-05
"b_disability_renal",-0.346634603592997,0.151194667917932,5.25618786260047,0.0218688690138148
"b_disability_neurological",-0.45083107516524,0.226766975497683,3.95246535682679,0.0468027519732546
"b_disability_gastrointestinal",-0.502844569275451,0.185468938446106,7.35064003695655,0.00670388856457882
"b_family_values",-2.41315091053982,0.319086793745699,57.1941096895817,3.95239396766556e-14
