"coefficient_name","weight","robust_se","wald","p_value"
"asc_continue",3.76962197730164,1.61089014757144,5.47600392679027,0.0192792840098546
"asc_withdraw",0,NA,NA,NA
"asc_timelimited",4.42886767921949,1.65167444321809,7.19012618884607,0.00733058253730656
"b_expected_los",0.0970049961408122,0.202045361899939,0.230510352450498,0.631145667809919
"b_clinical_situation",0.801965869733578,0.446656851911692,3.22376792867072,0.0725763921115842
"b_age",-1.24460815771037,0.204859522267649,36.9107589560194,1.23661669793051e-09
"b_frailty",-0.489494473446066,0.237254424768376,4.25664021978007,0.0390971751485181
"b_life_expectancy",0.386240110008958,0.186340264334591,4.2963665808106,0.0381938893642191
"b_suffering",-0.366578387691361,0.520626917603191,0.495770266569562,0.481364549630317
"b_disability_cardiovascular",-0.385932234123944,0.0932798372149211,17.117744826642,3.51325218891363e-05
"b_disability_pulmonary",-0.457373970626301,0.227368129743764,4.04653882147052,0.0442620076653472
"b_disability_renal",-0.339880466394167,0.284786475292281,1.42434006303706,0.2326903688515
"b_disability_neurological",-0.421900026908781,0.394507907071876,1.14368830949686,0.28487431603069
"b_disability_gastrointestinal",-0.379010440386418,0.289934715893109,1.70884199248881,0.191135685004929
"b_family_values",-2.53310297426893,0.56618097587697,20.0168227921531,7.67638485177358e-06
