"coefficient_name","weight","robust_se","wald","p_value"
"asc_continue",8.19790469127238,1.71723469827912,22.7901098963076,1.80693192564085e-06
"asc_withdraw",0,NA,NA,NA
"asc_timelimited",8.94397169104214,1.78025861668366,25.2403073450703,5.06132864619424e-07
"b_expected_los",0.169014706899828,0.183411364242344,0.8491736525225,0.356786212591786
"b_clinical_situation",1.6317508241794,0.678867325995398,5.7774722534207,0.0162328701125778
"b_age",-1.35312376721799,0.237097729572218,32.5701871660989,1.14964776587456e-08
"b_frailty",-1.42024307116418,0.328344380005268,18.7096724302566,1.52208443279234e-05
"b_life_expectancy",0.215089066156779,0.200439824128272,1.15151246099557,0.283232762281702
"b_suffering",-1.7955319018079,0.555664130447157,10.4414671347343,0.00123217357690686
"b_disability_cardiovascular",-0.390133018079009,0.161622864799512,5.82666184236898,0.0157850488283382
"b_disability_pulmonary",-1.06836296131204,0.214911585312388,24.7125744592373,6.65485679118838e-07
"b_disability_renal",-0.546350337060927,0.247810933379667,4.86073006551965,0.0274747076407184
"b_disability_neurological",-1.37939343601812,0.542419641030574,6.46703924014144,0.0109893464336275
"b_disability_gastrointestinal",-0.827999473490145,0.493511400706139,2.8149179572675,0.0933916713931204
"b_family_values",-4.12771019679309,0.849794035537037,23.5934276274749,1.18993253950261e-06
