"asc_continue","asc_timelimited","b_expected_los","b_clinical_situation","b_age","b_frailty","b_life_expectancy","b_suffering","b_disability_cardiovascular","b_disability_pulmonary","b_disability_renal","b_disability_neurological","b_disability_gastrointestinal","b_family_values","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-988.751059801321
-0.237495854352016,0.183395199944125,0.0298668220328847,-0.178224413166724,-0.161879831987786,-0.00299306562646306,0.211703020946426,0.11349616137782,-0.0379669824425558,-0.061517403323102,-0.0388423879569687,-0.0379192860492515,0.0537856505409588,-0.425481156626766,-864.306778298811
-0.288284900303034,0.288188342411932,0.0600712055202546,-0.31301641141798,-0.390990531311582,0.0279894252105877,0.479969371673872,0.251438684624978,-0.0385365136141687,-0.0807636768405228,-0.0399431991311947,-0.025058034163648,0.161282757367555,-0.938956258277848,-807.2659170637
0.256233511520017,0.892125964477586,-0.0269957161658546,-0.260289171057614,-0.848026448004519,0.056857880034771,0.818183920794397,0.339929051503441,-0.094316496488067,-0.0834828045396306,0.029702691896476,0.0428752018537104,0.192852593322168,-1.60129306602869,-782.305202360193
2.32050805071764,2.84931625799564,-9.53884067116592e-05,0.160803914403891,-0.99879541416464,-0.212922367447662,0.550607669885391,-0.116303912214518,-0.276019945756684,-0.342150734349986,-0.131288877131886,-0.211860924734278,-0.174960990629294,-1.88686279786956,-772.010667594653
4.18538275672635,4.68938801588989,-0.0468336654178788,0.5873804693201,-1.16458871347804,-0.487648198241757,0.366301827045353,-0.607874957987825,-0.368846005609096,-0.612583793123991,-0.331373655899852,-0.449491398803503,-0.486032241127892,-2.34245685089367,-768.930100052535
4.3562059673796,4.8677164804434,-0.0803173442049598,0.590044795238557,-1.18926143246731,-0.497287254377403,0.361642959993046,-0.610480631342762,-0.389278860766358,-0.619332245615864,-0.345903293888706,-0.456950322973448,-0.507809322939469,-2.40648223521448,-768.811456157732
4.33187977370078,4.8489329220371,-0.0811775326093699,0.581330538829504,-1.18898043864108,-0.49554921186607,0.367451168278354,-0.613036480534375,-0.382820651930582,-0.617523520851426,-0.345429069414529,-0.44994168328233,-0.500436534853451,-2.41210277559623,-768.803019853615
4.34951605470456,4.8667775451251,-0.0823145793083768,0.581789063239913,-1.19085806264704,-0.495639572752402,0.36384785814953,-0.612588167032915,-0.386454736226381,-0.618170665422083,-0.346231926919266,-0.450986685344848,-0.503449181558435,-2.41207698225682,-768.80233478039
4.3480230069043,4.86558498559693,-0.0825993947956763,0.582098437267801,-1.19076008956828,-0.495925033029399,0.364258537777203,-0.614163215161151,-0.385271279409129,-0.618299589300889,-0.346548544279155,-0.450811061131412,-0.502899284878786,-2.41314067301394,-768.802163761388
4.34843484359574,4.86602470374221,-0.0825658044612795,0.582177730836461,-1.19082419843448,-0.495949872573555,0.364156240553479,-0.61438034496745,-0.385270953160913,-0.618401411302821,-0.346635696813699,-0.450839566959382,-0.502851355984711,-2.41316303859945,-768.802162324925
4.34846815650281,4.86605023553687,-0.0825762640150321,0.582184725604176,-1.19083726010322,-0.495948645591973,0.364141464463247,-0.614394802400925,-0.385270644915564,-0.618401565591037,-0.346634603592997,-0.45083107516524,-0.502844569275451,-2.41315091053982,-768.802162284013
