"asc_continue","asc_timelimited","b_expected_los","b_clinical_situation","b_age","b_frailty","b_life_expectancy","b_suffering","b_disability_cardiovascular","b_disability_pulmonary","b_disability_renal","b_disability_neurological","b_disability_gastrointestinal","b_family_values","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-521.840837117352
-0.180446418347829,0.200917644185125,-0.011384345072844,-0.245788676375256,-0.184421688821938,0.0161207336391338,0.281139134036425,0.134731936124252,-0.0360939028468179,-0.0795215845672842,-0.0164454150381483,-0.0290790267460637,0.0508627355157543,-0.470640153108289,-456.625421038795
-0.127411711219256,0.382665679909403,-0.0670903371630464,-0.474301105119383,-0.49602881718272,0.0827256340690872,0.657662945263145,0.254059621938445,-0.0334384572798281,-0.118636736168078,0.025028374928286,0.0226389137014668,0.14886326788966,-1.06491976932348,-427.640565776054
0.408674898140145,0.862011440274505,-0.161559854262419,-0.510822407845346,-0.762393863110344,0.0826637853209289,0.801042266465656,0.225976294027595,-0.0815951957536998,-0.159833933776157,0.10086671080456,0.0915573288679492,0.101361735004907,-1.35251056479264,-421.691362191415
2.9294034646249,3.34489070608516,-0.159328436744134,0.0212763883513517,-0.972503450971769,-0.248957280867025,0.53686545549532,-0.349504009686252,-0.277008446351367,-0.500089477100887,-0.141889280539604,-0.25022950655283,-0.295555435781642,-1.85600883890729,-415.109762593734
4.54458412741745,4.96449876974562,-0.229184950735313,0.356090042363348,-1.12933615646632,-0.457077927362581,0.385337702138275,-0.711719525469243,-0.387411106350561,-0.711505651115814,-0.319695513869761,-0.446706493621489,-0.557626524730606,-2.25972618917013,-413.640009773109
4.98177068183859,5.37462774278509,-0.250678913407742,0.447861915477062,-1.16272306813397,-0.531430930965179,0.353897901672214,-0.859539272329026,-0.382350309848133,-0.764296368237838,-0.363062367115234,-0.506883594959981,-0.62761180660107,-2.39065644082307,-413.541699370788
4.91858599667477,5.31712271216607,-0.257539470654756,0.424709027823612,-1.15768075358238,-0.518403198991251,0.359762896238746,-0.830132026985892,-0.383832937736049,-0.754885668705141,-0.357517844954874,-0.496801251255344,-0.617692526349825,-2.37174586516074,-413.536742534996
4.91707968615228,5.31592633814996,-0.256938389891015,0.425186627336715,-1.15738115060623,-0.519000874540719,0.360435499889044,-0.831442956231047,-0.382933979019833,-0.755002417998114,-0.357496018161277,-0.496788823563417,-0.616924525297136,-2.37324382592182,-413.536690710789
4.91892435397825,5.31780034715375,-0.257110181415697,0.425147311332812,-1.15762903878399,-0.519013871806979,0.36022560374453,-0.831367094499842,-0.38325933573497,-0.755153287800448,-0.35755733643092,-0.496906796147065,-0.617309595846719,-2.37337791470796,-413.536684327992
4.91910361902211,5.3180096341913,-0.257174837377816,0.42516741782,-1.15764735587037,-0.519035859268259,0.360224900112122,-0.83140469031579,-0.383242324137103,-0.755163473726543,-0.357599168431038,-0.49695506676491,-0.617355981614835,-2.37343219186374,-413.53668415116
4.91914887647424,5.31805629587929,-0.257172833046443,0.425164439024467,-1.15764874897905,-0.519043129359386,0.360224256538901,-0.831418753939431,-0.383241324581815,-0.755170853694731,-0.357602621541404,-0.49695943306709,-0.617358904190895,-2.37344696787197,-413.536684143796
