"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"asc_continue",4.91914887647424,1.19937679526142,4.10142075110101,1.02192935890327,4.81358993517268
"asc_withdraw",0,NA,NA,NA,NA
"asc_timelimited",5.31805629587929,1.19803160442114,4.4389949950017,1.06793005447834,4.97977959659261
"b_expected_los",-0.257172833046443,0.235465026914456,-1.09219121164806,0.189287762467142,-1.35863422809008
"b_clinical_situation",0.425164439024467,0.384377823809185,1.1061107397172,0.341065992247706,1.24657529243104
"b_age",-1.15764874897905,0.15625435072471,-7.40874569962282,0.154601083053391,-7.48797308605695
"b_frailty",-0.519043129359386,0.212269254139083,-2.44521106678642,0.209308036872968,-2.47980506202158
"b_life_expectancy",0.360224256538901,0.179105770049523,2.01123758569754,0.139980713679825,2.57338491188747
"b_suffering",-0.831418753939431,0.369402604731222,-2.25071167146851,0.375985188442801,-2.21130719904918
"b_disability_cardiovascular",-0.383241324581815,0.136859367150189,-2.80025644252211,0.116183319638762,-3.29859162032375
"b_disability_pulmonary",-0.755170853694731,0.202384482580915,-3.73136736603711,0.177614904390724,-4.25173133012238
"b_disability_renal",-0.357602621541404,0.205335962819357,-1.74154890663747,0.139937899751173,-2.55543796339137
"b_disability_neurological",-0.49695943306709,0.232343093269372,-2.13890340390248,0.25956195333721,-1.91460815684904
"b_disability_gastrointestinal",-0.617358904190895,0.291809855254407,-2.11562047365627,0.238480936588381,-2.58871385286639
"b_family_values",-2.37344696787197,0.391034951646119,-6.06965427995783,0.358154756268565,-6.62687546746474
